st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
NJ,Aaron Decker School,340252004168,Butler Public School District,3402520,BUTLER,07405,BUTLER,07405,Yes participating without using any Provision or the CEO,369,,85
NY,AARON MOSSELL JUNIOR HIGH SCHOOL,361767001587,LOCKPORT CITY SCHOOL DISTRICT,3617670,LOCKPORT,14094,LOCKPORT,14094,Yes under Community Eligibility Option (CEO),621,,424
NY,ABBEY LANE SCHOOL,361716001518,LEVITTOWN UNION FREE SCHOOL DISTRICT,3617160,LEVITTOWN,11756,LEVITTOWN,11756,Yes participating without using any Provision or the CEO,630,,185
NC,Abbotts Creek Elementary,370472003241,Wake County Schools,3704720,Raleigh,27614,Raleigh,27614,Yes participating without using any Provision or the CEO,805,,251
NC,Aberdeen Elementary,370309001315,Moore County Schools,3703090,Aberdeen,28315,Aberdeen,28315,Yes participating without using any Provision or the CEO,635,,632
NJ,Abington Avenue School,341134002222,Newark Public School District,3411340,NEWARK,07107,NEWARK,07107,Yes participating without using any Provision or the CEO,833,,738
NM,ABIQUIU ELEMENTARY,350090000259,ESPANOLA,3500900,ABIQUIU,87510,ABIQUIU,87510,Yes under Community Eligibility Option (CEO),76,41,76
NM,ABQ CHARTER ACADEMY,350006000893,ALBUQUERQUE,3500060,ALBUQUERQUE,87102,ALBUQUERQUE,87102,No,348,121,123
NM,ABQ SCHOOL OF EXCELLENCE,350012201071,ABQ SCHOOL OF EXCELLENCE,3500122,ALBUQUERQUE,87112,ALBUQUERQUE,87112,Yes under Community Eligibility Option (CEO),942,208,394
NM,ABQ SIGN LANGUAGE ACADEMY,350012301066,ABQ SIGN LANGUAGE ACADEMY,3500123,ALBUQUERQUE,87102,ALBUQUERQUE,87102,Yes under Community Eligibility Option (CEO),146,55,146
NJ,Abraham Clark High School,341428005650,Roselle Public School District,3414280,ROSELLE,07203,ROSELLE,07203,Yes participating without using any Provision or the CEO,918,,574
NY,ABRAHAM LINCOLN ELEMENTARY SCHOOL,361563001352,JAMESTOWN CITY SCHOOL DISTRICT,3615630,JAMESTOWN,14701,JAMESTOWN,14701,Yes under Community Eligibility Option (CEO),401,,280
NJ,Abraham Lincoln Elementary School,341836000940,Wyckoff Township Public School District,3418360,WYCKOFF,07481,WYCKOFF,07481,No,345,,3
NY,ABRAHAM LINCOLN HIGH SCHOOL,360015201906,NEW YORK CITY GEOGRAPHIC DISTRICT #21,3600152,BROOKLYN,11235,BROOKLYN,11235,,2163,,1766
NJ,Abraham Lincoln School #6,340576000472,Garfield Public School District,3405760,GARFIELD,07026,GARFIELD,07026,Yes under Community Eligibility Option (CEO),380,,178
NJ,Abraham Lincoln School No. 14,340459005508,Elizabeth Public Schools,3404590,ELIZABETH,07202,ELIZABETH,07202,Yes participating without using any Provision or the CEO,786,,659
NJ,Abraham Lincoln School Number 24,341254003541,Passaic City School District,3412540,Passaic,07055,Passaic,07055,Yes under Community Eligibility Option (CEO),298,,287
NY,ABRAHAM WING SCHOOL,360231000002,GLENS FALLS COMMON SCHOOL DISTRICT,3602310,GLENS FALLS,12801,GLENS FALLS,12801,Yes under Community Eligibility Option (CEO),143,,87
NY,ABRAM LANSING SCHOOL,360798000568,COHOES CITY SCHOOL DISTRICT,3607980,COHOES,12047,COHOES,12047,Yes under Community Eligibility Option (CEO),320,,244
NJ,Abram P. Morris Early Childhood Center,340729005548,Hillside Public School District,3407290,HILLSIDE,07205,HILLSIDE,07205,Yes participating without using any Provision or the CEO,664,,401
NJ,Absegami High School,340606000122,Greater Egg Harbor Regional High School District,3406060,GALLOWAY,08205,GALLOWAY,08205,Yes participating without using any Provision or the CEO,1131,,578
NC,ABSS Early College at ACC,370003002972,Alamance-Burlington Schools,3700030,Graham,27253,Graham,27253,Yes participating without using any Provision or the CEO,231,,72
NY,ACAD FOR COLLEGE PREP AND CAREER EXP,360009505916,NEW YORK CITY GEOGRAPHIC DISTRICT #17,3600095,BROOKLYN,11226,BROOKLYN,11226,,426,,402
NY,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,360008805810,NEW YORK CITY GEOGRAPHIC DISTRICT #11,3600088,BRONX,10466,BRONX,10466,,394,,351
NY,ACADEMIC LEADERSHIP CHARTER SCHOOL,360100106154,ACADEMIC LEADERSHIP CHARTER SCHOOL,3601001,BRONX,10454,BRONX,10454,No,390,,
NC,Academy at Smith,370192002889,Guilford County Schools,3701920,Greensboro,27407,Greensboro,27407,Yes participating without using any Provision or the CEO,228,,225
NJ,Academy Charter High School,340004800335,Academy Charter High School,3400048,LAKE COMO,07719,LAKE COMO,07719,Yes participating without using any Provision or the CEO,173,,133
NY,ACADEMY CHARTER SCHOOL,360099706131,ACADEMY CHARTER SCHOOL,3600997,HEMPSTEAD,11550,HEMPSTEAD,11550,Yes under Community Eligibility Option (CEO),1895,,1687
NY,ACADEMY CHARTER SCHOOL 2 (THE),368097306763,ACADEMY CHARTER SCHOOL 2 (THE),3680973,WYANDANCH,11798,WYANDANCH,11798,Yes under Community Eligibility Option (CEO),191,,152
NY,ACADEMY CHARTER SCHOOL-UNIONDALE,360116906639,ACADEMY CHARTER SCHOOL-UNIONDALE,3601169,UNIONDALE,11553,UNIONDALE,11553,Yes under Community Eligibility Option (CEO),1522,,997
NM,ACADEMY DEL SOL ALT.,350003000799,ALAMOGORDO,3500030,ALAMOGORDO,88310,ALAMOGORDO,88310,Yes under Community Eligibility Option (CEO),0,,
NJ,Academy For Allied Health Sciences,341804000584,Union County Vocational-Technical School District,3418040,SCOTCH PLAINS,07076,SCOTCH PLAINS,07076,No,304,,25
NY,ACADEMY FOR CAREERS IN TELEVISION AND FILM,360010206070,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,LONG ISLAND CITY,11101,LONG ISLAND CITY,11101,,541,,387
NY,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,360009606054,NEW YORK CITY GEOGRAPHIC DISTRICT #18,3600096,BROOKLYN,11236,BROOKLYN,11236,,438,,350
NJ,Academy for Environmental Science,341072003375,Morris County Vocational School District,3410720,Oak Ridge,07438,Oak Ridge,07438,No,48,,
NY,ACADEMY FOR EXCELLENCE IN LEADERSHIP,360009705866,NEW YORK CITY GEOGRAPHIC DISTRICT #32,3600097,BROOKLYN,11237,BROOKLYN,11237,,272,,255
NY,ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE),360010006067,NEW YORK CITY GEOGRAPHIC DISTRICT #28,3600100,FOREST HILLS,11375,FOREST HILLS,11375,,518,,129
NY,ACADEMY FOR HEALTH CAREERS,360009506200,NEW YORK CITY GEOGRAPHIC DISTRICT #17,3600095,BROOKLYN,11213,BROOKLYN,11213,,198,,171
NJ,Academy For Information Technology,341804006134,Union County Vocational-Technical School District,3418040,SCOTCH PLAINS,07076,SCOTCH PLAINS,07076,No,303,,20
NY,ACADEMY FOR LANGUAGE AND TECHNOLOGY,360008605981,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,3600086,BRONX,10453,BRONX,10453,Yes under Community Eligibility Option (CEO),350,,349
NJ,Academy for Mathematics Science and Engineering,341072000522,Morris County Vocational School District,3410720,ROCKAWAY,07866,ROCKAWAY,07866,No,180,,
NY,ACADEMY FOR NEW AMERICANS,360010202535,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,ASTORIA,11102,ASTORIA,11102,,94,,91
NJ,Academy For Performing Arts,341804003009,Union County Vocational-Technical School District,3418040,SCOTCH PLAINS,07076,SCOTCH PLAINS,07076,No,240,,14
NJ,Academy for Performing Arts,341072003439,Morris County Vocational School District,3410720,Rockaway,07866,Rockaway,07866,No,144,,
NY,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,360008706297,NEW YORK CITY GEOGRAPHIC DISTRICT #10,3600087,BRONX,10468,BRONX,10468,Yes under Community Eligibility Option (CEO),733,,693
NY,ACADEMY FOR SOFTWARE ENGINEERING,360007706363,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,NEW YORK,10003,NEW YORK,10003,,416,,343
NM,ACADEMY FOR TECHNOLOGY & CLASSICS,350237000841,SANTA FE,3502370,SANTA FE,87508,SANTA FE,87508,Yes participating without using any Provision or the CEO,396,87,138
NJ,Academy for Urban Leadership Charter School,340074103050,Academy for Urban Leadership Charter School,3400741,Perth Amboy,08861,Perth Amboy,08861,Yes participating without using any Provision or the CEO,332,,195
NY,ACADEMY FOR YOUNG WRITERS,360012005884,NEW YORK CITY GEOGRAPHIC DISTRICT #19,3600120,BROOKLYN,11208,BROOKLYN,11208,,452,,415
NJ,Academy I,340783000142,Jersey City Public Schools,3407830,JERSEY CITY,07305,JERSEY CITY,07305,Yes participating without using any Provision or the CEO,450,,219
NJ,Academy Learning Center,348018005951,Educational Services Commission of New Jersey,3480180,MONROE TOWNSHIP,08831,MONROE TOWNSHIP,08831,Yes participating without using any Provision or the CEO,123,,19
NY,ACADEMY OF AMERICAN STUDIES,360010202562,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,LONG ISLAND CITY,11101,LONG ISLAND CITY,11101,Yes under Community Eligibility Option (CEO),1399,,964
NY,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,360008405920,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,3600084,BRONX,10454,BRONX,10454,,262,,249
NY,ACADEMY OF ARTS AND LETTERS,360009105901,NEW YORK CITY GEOGRAPHIC DISTRICT #13,3600091,BROOKLYN,11216,BROOKLYN,11216,Yes under Community Eligibility Option (CEO),723,,272
NJ,Academy of Career and Technical Education,340757003468,Hudson County Schools of Technology School District,3407570,Secaucus,07094,Secaucus,07094,No,209,,80
NY,ACADEMY OF FINANCE AND ENTERPRISE,360009805828,NEW YORK CITY GEOGRAPHIC DISTRICT #24,3600098,LONG ISLAND CITY,11101,LONG ISLAND CITY,11101,,827,,689
NY,ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,360119006669,ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,3601190,ROCHESTER,14615,ROCHESTER,14615,Yes under Community Eligibility Option (CEO),377,,331
NY,ACADEMY OF HOSPITALITY AND TOURISM,360009505885,NEW YORK CITY GEOGRAPHIC DISTRICT #17,3600095,BROOKLYN,11226,BROOKLYN,11226,,371,,304
NY,ACADEMY OF INNOVATIVE TECHNOLOGY,360012006046,NEW YORK CITY GEOGRAPHIC DISTRICT #19,3600120,BROOKLYN,11208,BROOKLYN,11208,Yes under Community Eligibility Option (CEO),398,,327
NJ,Academy of Law & Public Safety,341750003219,Monmouth County Vocational School District,3417500,Long Branch,07740,Long Branch,07740,No,70,,10
NY,ACADEMY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL,360012306079,NEW YORK CITY GEOGRAPHIC DISTRICT #27,3600123,FAR ROCKAWAY,11691,FAR ROCKAWAY,11691,,608,,520
NY,ACADEMY OF PUBLIC RELATIONS,360008405786,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,3600084,BRONX,10456,BRONX,10456,Yes under Community Eligibility Option (CEO),142,,133
NY,ACADEMY OF TALENTED SCHOLARS (THE),360015106120,NEW YORK CITY GEOGRAPHIC DISTRICT #20,3600151,BROOKLYN,11218,BROOKLYN,11218,,364,,244
NJ,Academy of Technology Design,340757003198,Hudson County Schools of Technology School District,3407570,Jersey City,07302,Jersey City,07302,No,203,,88
NY,ACADEMY OF THE CITY CHARTER SCHOOL,360105306289,ACADEMY OF THE CITY CHARTER SCHOOL,3601053,WOODSIDE,11377,WOODSIDE,11377,No,731,,
NY,ACADEMY OF URBAN PLANNING AND ENGINEERING (THE),360009705552,NEW YORK CITY GEOGRAPHIC DISTRICT #32,3600097,BROOKLYN,11237,BROOKLYN,11237,Yes under Community Eligibility Option (CEO),432,,420
NY,ACADEMY SCHOOL,360585006262,BUFFALO CITY SCHOOL DISTRICT,3605850,BUFFALO,14216,BUFFALO,14216,Yes under Community Eligibility Option (CEO),78,,73
NJ,Academy Street Elementary School,340393004214,Dover Public School District,3403930,DOVER,07801,DOVER,07801,Yes participating without using any Provision or the CEO,548,,317
NY,ACADEMY STREET ELEMENTARY SCHOOL,360411000172,BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT,3604110,BAYPORT,11705,BAYPORT,11705,Yes participating without using any Provision or the CEO,308,,25
NY,ACADIA MIDDLE SCHOOL,362667001421,SHENENDEHOWA CENTRAL SCHOOL DISTRICT,3626670,CLIFTON PARK,12065,CLIFTON PARK,12065,Yes participating without using any Provision or the CEO,736,,169
NY,ACCION ACADEMY,360009005692,NEW YORK CITY GEOGRAPHIC DISTRICT #12,3600090,BRONX,10459,BRONX,10459,,181,,178
NY,ACCOMPSETT ELEMENTARY SCHOOL,362706003675,SMITHTOWN CENTRAL SCHOOL DISTRICT,3627060,SMITHTOWN,11787,SMITHTOWN,11787,Yes participating without using any Provision or the CEO,532,,63
NY,ACCOMPSETT MIDDLE SCHOOL,362706005840,SMITHTOWN CENTRAL SCHOOL DISTRICT,3627060,SMITHTOWN,11787,SMITHTOWN,11787,Yes participating without using any Provision or the CEO,523,,71
NY,ACE ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,360009806223,NEW YORK CITY GEOGRAPHIC DISTRICT #24,3600098,RIDGEWOOD,11385,RIDGEWOOD,11385,,556,,365
NM,ACE LEADERSHIP HIGH SCHOOL,350006001074,ALBUQUERQUE,3500060,ALBUQUERQUE,87104,ALBUQUERQUE,87104,Yes under Community Eligibility Option (CEO),253,127,254
NM,ACEQUIA MADRE ELEMENTARY,350237000534,SANTA FE,3502370,SANTA FE,87501,SANTA FE,87501,Yes participating without using any Provision or the CEO,164,30,46
NM,ACES TECHNICAL CHARTER SCHOOL,350018501150,ACES TECHNICAL CHARTER SCHOOL,3500185,ALBUQUERQUE,87109,ALBUQUERQUE,87109,Yes under Community Eligibility Option (CEO),161,51,53
NC,Achievement Charter Academy,370045903534,Achievement Charter Academy,3700459,Fuquay-Varina,27526,Fuquay-Varina,27526,No,202,,
NY,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,360102806237,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,3601028,BROOKLYN,11208,BROOKLYN,11208,No,871,,
NY,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,360110906421,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,3601109,BROOKLYN,11208,BROOKLYN,11208,No,815,,
NY,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,360096906014,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,3600969,BROOKLYN,11233,BROOKLYN,11233,No,844,,
NY,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,360014705821,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,3600147,BROOKLYN,11203,BROOKLYN,11203,No,1370,,
NY,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,360014905824,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,3600149,BROOKLYN,11207,BROOKLYN,11207,No,1138,,
NY,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,360017005867,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,3600170,BROOKLYN,11238,BROOKLYN,11238,No,674,,
NY,ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL,360123006738,ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL,3601230,SAINT ALBANS,11412,SAINT ALBANS,11412,No,194,,
NY,ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,360111206517,ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,3601112,BROOKLYN,11207,BROOKLYN,11207,No,646,,
NY,ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,360112406457,ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,3601124,BROOKLYN,11221,BROOKLYN,11221,No,835,,
NY,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,360114306591,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,3601143,BROOKLYN,11226,BROOKLYN,11226,No,154,,
NY,ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,360016605902,ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,3600166,BROOKLYN,11237,BROOKLYN,11237,No,920,,
NJ,Achievers Early College Prep Charter School,340079403457,Achievers Early College Prep Charter School,3400794,Trenton,08611,Trenton,08611,No,443,,254
NC,Acme Delco Elementary,370096000357,Columbus County Schools,3700960,Riegelwood,28456,Riegelwood,28456,Yes participating without using any Provision or the CEO,310,,307
NY,ACTIVE LEARNING ELEMENTARY SCHOOL (THE),360012206032,NEW YORK CITY GEOGRAPHIC DISTRICT #25,3600122,FLUSHING,11367,FLUSHING,11367,,462,,351
NC,Adams Elementary,370472001826,Wake County Schools,3704720,Cary,27511,Cary,27511,Yes participating without using any Provision or the CEO,616,,350
NJ,Adamsville Primary School,340228005166,Bridgewater-Raritan Regional School District,3402280,Bridgewater,08807,Bridgewater,08807,Yes participating without using any Provision or the CEO,490,,104
NY,ADDISON MIDDLE/HIGH SCHOOL,360237000007,ADDISON CENTRAL SCHOOL DISTRICT,3602370,ADDISON,14801,ADDISON,14801,Yes under Community Eligibility Option (CEO),515,,234
NJ,Adelphia Elementary School,340756000721,Howell Township Public School District,3407560,FREEHOLD,07728,FREEHOLD,07728,Yes participating without using any Provision or the CEO,391,,88
NY,ADIRONDACK HIGH SCHOOL,360504000241,ADIRONDACK CENTRAL SCHOOL DISTRICT,3605040,BOONVILLE,13309,BOONVILLE,13309,Yes under Community Eligibility Option (CEO),370,,155
NY,ADIRONDACK MIDDLE SCHOOL,360504004187,ADIRONDACK CENTRAL SCHOOL DISTRICT,3605040,BOONVILLE,13309,BOONVILLE,13309,Yes under Community Eligibility Option (CEO),267,,113
NJ,Adlai E. Stevenson School,340501002086,Fairfield Public School District,3405010,FAIRFIELD,07004,FAIRFIELD,07004,No,319,,17
NJ,Admiral William F. Halsey Jr. Health & Public Safety Academy,340459003039,Elizabeth Public Schools,3404590,Elizabeth,07202,Elizabeth,07202,Yes participating without using any Provision or the CEO,1291,,1039
NM,ADOBE ACRES ELEMENTARY,350006000020,ALBUQUERQUE,3500060,ALBUQUERQUE,87105,ALBUQUERQUE,87105,Yes under Community Eligibility Option (CEO),311,179,313
NJ,ADULT DIAGNOSTIC AND TREATMENT CENTER,340008800589,OFFICE OF EDUCATIONAL SERVICES DEPARTMENT OF CORRECTIONS,3400088,AVENEL,07001,AVENEL,07001,No,,,
NC,AdVance Academy,370465001993,Vance County Schools,3704650,Henderson,27536,Henderson,27536,Yes participating without using any Provision or the CEO,178,,175
NY,AECI II:  NYC CHARTER HS,360119506687,AECI II:  NYC CHARTER HS,3601195,BRONX,10452,BRONX,10452,Yes under Provision 2,460,,457
NY,AFRICAN ROAD ELEMENTARY SCHOOL,362961003984,VESTAL CENTRAL SCHOOL DISTRICT,3629610,VESTAL,13850,VESTAL,13850,Yes participating without using any Provision or the CEO,306,,103
NY,AFTON ELEMENTARY SCHOOL,360240000010,AFTON CENTRAL SCHOOL DISTRICT,3602400,AFTON,13730,AFTON,13730,Yes under Community Eligibility Option (CEO),213,,106
NY,AFTON JUNIOR/SENIOR HIGH SCHOOL,360240000011,AFTON CENTRAL SCHOOL DISTRICT,3602400,AFTON,13730,AFTON,13730,Yes under Community Eligibility Option (CEO),247,,133
NC,Agape Achievement Academy,370508103659,Agape Achievement Academy,3705081,Fayetteville,28301,Fayetteville,28301,,,,
NC,Aggie Academy,370048703638,Aggie Academy,3700487,Greensboro,27405,Greensboro,27405,Yes participating without using any Provision or the CEO,84,,42
NC,Agriculture and Science Early College,370231003432,Iredell-Statesville Schools,3702310,Olin,28660,Olin,28660,Yes participating without using any Provision or the CEO,266,,100
NC,Ahoskie Elementary,370216000931,Hertford County Schools,3702160,Ahoskie,27910,Ahoskie,27910,Yes participating without using any Provision or the CEO,213,,210
NY,AKRON ELEMENTARY SCHOOL,360243000012,AKRON CENTRAL SCHOOL DISTRICT,3602430,AKRON,14001,AKRON,14001,Yes under Community Eligibility Option (CEO),547,,228
NY,AKRON HIGH SCHOOL,360243000013,AKRON CENTRAL SCHOOL DISTRICT,3602430,AKRON,14001,AKRON,14001,Yes under Community Eligibility Option (CEO),383,,162
NY,AKRON MIDDLE SCHOOL,360243005012,AKRON CENTRAL SCHOOL DISTRICT,3602430,AKRON,14001,AKRON,14001,Yes under Community Eligibility Option (CEO),273,,113
NC,ALA Monroe,370508403669,ALA Monroe,3705084,Monroe,28110,Monroe,28110,,,,
NC,Alamance Community School,370046703528,Alamance Community School,3700467,Haw River,27258,Haw River,27258,No,633,,
NC,Alamance Elementary,370192000814,Guilford County Schools,3701920,Greensboro,27406,Greensboro,27406,Yes participating without using any Provision or the CEO,499,,228
NC,Alamance Virtual School,370003003574,Alamance-Burlington Schools,3700030,Burlington,27217,Burlington,27217,Yes participating without using any Provision or the CEO,234,,122
NM,ALAMEDA ELEMENTARY,350150000376,LAS CRUCES,3501500,LAS CRUCES,88005,LAS CRUCES,88005,Yes under Community Eligibility Option (CEO),336,90,332
NM,ALAMEDA ELEMENTARY,350006000021,ALBUQUERQUE,3500060,ALBUQUERQUE,87114,ALBUQUERQUE,87114,Yes under Community Eligibility Option (CEO),205,122,207
NM,ALAMOGORDO HIGH,350003000001,ALAMOGORDO,3500030,ALAMOGORDO,88310,ALAMOGORDO,88310,Yes under Community Eligibility Option (CEO),1527,555,595
NM,ALAMOSA ELEMENTARY,350006000022,ALBUQUERQUE,3500060,ALBUQUERQUE,87121,ALBUQUERQUE,87121,Yes under Community Eligibility Option (CEO),370,240,372
NJ,Alan B. Shepard Elementary School,340927003498,Old Bridge Township School District,3409270,OLD BRIDGE,08857,OLD BRIDGE,08857,Yes participating without using any Provision or the CEO,281,,72
NY,ALBANY AVENUE ELEMENTARY SCHOOL,361098000875,FARMINGDALE UNION FREE SCHOOL DISTRICT,3610980,NORTH MASSAPEQUA,11758,NORTH MASSAPEQUA,11758,Yes participating without using any Provision or the CEO,524,,100
NY,ALBANY AVENUE SCHOOL,361738001541,LINDENHURST UNION FREE SCHOOL DISTRICT,3617380,LINDENHURST,11757,LINDENHURST,11757,Yes participating without using any Provision or the CEO,511,,255
NY,ALBANY ELEMENTARY SCHOOL,362937003946,UTICA CITY SCHOOL DISTRICT,3629370,UTICA,13501,UTICA,13501,Yes under Community Eligibility Option (CEO),475,,343
NY,ALBANY HIGH SCHOOL,360246000014,ALBANY CITY SCHOOL DISTRICT,3602460,ALBANY,12203,ALBANY,12203,Yes under Community Eligibility Option (CEO),2768,,1807
NY,ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,360100606202,ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,3601006,ALBANY,12208,ALBANY,12208,Yes under Community Eligibility Option (CEO),392,,330
