st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
NH,Acworth Elementary School,330299000112,Fall Mountain Regional School District,3302990,Acworth,03601,Acworth,03601,Yes participating without using any Provision or the CEO,33,,13
MO,ADAH FULBRIGHT EARLY CHILDHOOD,292886003378,SPRINGFIELD R-XII,2928860,SPRINGFIELD,65807,SPRINGFIELD,65807,Yes participating without using any Provision or the CEO,216,59,114
MO,ADAIR CO. ELEM.,292298001314,ADAIR CO. R-I,2922980,NOVINGER,63559,NOVINGER,63559,Yes participating without using any Provision or the CEO,107,33,73
MO,ADAIR CO. ELEM.,290579000124,ADAIR CO. R-II,2905790,BRASHEAR,63533,BRASHEAR,63533,Yes participating without using any Provision or the CEO,82,13,38
MO,ADAIR CO. HIGH,290579000125,ADAIR CO. R-II,2905790,BRASHEAR,63533,BRASHEAR,63533,Yes participating without using any Provision or the CEO,70,5,19
MO,ADAIR CO. HIGH,292298001315,ADAIR CO. R-I,2922980,NOVINGER,63559,NOVINGER,63559,Yes participating without using any Provision or the CEO,100,23,59
NE,ADAMS CENTRAL EARLY CHILDHOOD CENTER,310277002372,ADAMS CENTRAL PUBLIC SCHOOLS,3102770,JUNIATA,68955,JUNIATA,68955,Yes participating without using any Provision or the CEO,99,,14
NE,ADAMS CENTRAL ELEMENTARY SCHOOL,310277002370,ADAMS CENTRAL PUBLIC SCHOOLS,3102770,HASTINGS,68901,HASTINGS,68901,Yes participating without using any Provision or the CEO,498,,91
NE,ADAMS CENTRAL JR-SR HIGH SCH,310277000003,ADAMS CENTRAL PUBLIC SCHOOLS,3102770,HASTINGS,68901,HASTINGS,68901,Yes participating without using any Provision or the CEO,432,,86
MO,ADAMS ELEM.,292928002789,ST. LOUIS CITY,2929280,ST LOUIS,63110,ST LOUIS,63110,Yes under Community Eligibility Option (CEO),155,108,155
NE,ADAMS ELEMENTARY SCHOOL,317482001348,OMAHA PUBLIC SCHOOLS,3174820,OMAHA,68134,OMAHA,68134,Yes under Community Eligibility Option (CEO),276,273,
NE,ADAMS ELEMENTARY SCHOOL,317284002211,LINCOLN PUBLIC SCHOOLS,3172840,LINCOLN,68512,LINCOLN,68512,Yes participating without using any Provision or the CEO,757,,177
NV,Adams Kirk ES,320006000395,Clark County,3200060,Las Vegas,89110,Las Vegas,89110,Yes under Community Eligibility Option (CEO),404,269,404
NE,ADAMS MIDDLE SCHOOL,310002201321,NORTH PLATTE PUBLIC SCHOOLS,3100022,NORTH PLATTE,69103,NORTH PLATTE,69101,Yes participating without using any Provision or the CEO,533,,267
NV,Adcock O K ES,320006000082,Clark County,3200060,Las Vegas,89107,Las Vegas,89107,Yes under Community Eligibility Option (CEO),430,268,430
NH,Adeline C. Marston School,330351000470,Hampton School District,3303510,Hampton,03842,Hampton,03842,Yes participating without using any Provision or the CEO,309,,50
NV,Adobe Middle School,320012000326,Elko,3200120,Elko,89801,Elko,89801,Yes participating without using any Provision or the CEO,681,207,238
MO,ADRIAN ELEM.,290285000001,ADRIAN R-III,2902850,ADRIAN,64720,ADRIAN,64720,Yes participating without using any Provision or the CEO,327,44,113
MO,ADRIAN SR. HIGH,290285000002,ADRIAN R-III,2902850,ADRIAN,64720,ADRIAN,64720,Yes participating without using any Provision or the CEO,406,35,95
NV,Adult Education,320012000854,Elko,3200120,Elko,89801,Elko,89801,No,0,,
NV,Adult Education Programs,320006000795,Clark County,3200060,Las Vegas,89104,Las Vegas,89104,No,0,,
MO,ADVANCE ELEM.,290288000003,ADVANCE R-IV,2902880,ADVANCE,63730,ADVANCE,63730,Yes participating without using any Provision or the CEO,243,48,108
MO,ADVANCE HIGH,290288000004,ADVANCE R-IV,2902880,ADVANCE,63730,ADVANCE,63730,Yes participating without using any Provision or the CEO,183,32,68
MO,ADVANCE PRESCHOOL,290288003340,ADVANCE R-IV,2902880,ADVANCE,63730,ADVANCE,63730,No,0,,
NV,Advanced Technologies Academy HS,320006000419,Clark County,3200060,Las Vegas,89106,Las Vegas,89106,Yes under Community Eligibility Option (CEO),1208,347,1208
MO,AFFTON HIGH,290291000009,AFFTON 101,2902910,ST LOUIS,63123,ST LOUIS,63123,Yes participating without using any Provision or the CEO,739,104,221
NV,AGNES RISLEY ELEMENTARY,320048000201,Washoe County,3200480,SPARKS,89431,SPARKS,89431,Yes under Community Eligibility Option (CEO),354,197,354
NE,AINSWORTH ELEMENTARY SCHOOL,310279000005,AINSWORTH COMMUNITY SCHOOLS,3102790,AINSWORTH,69210,AINSWORTH,69210,Yes participating without using any Provision or the CEO,127,,70
NE,AINSWORTH HIGH SCHOOL,310279000006,AINSWORTH COMMUNITY SCHOOLS,3102790,AINSWORTH,69210,AINSWORTH,69210,Yes participating without using any Provision or the CEO,114,,57
NE,AINSWORTH LITTLE PAWS PRESCHOOL,310279002242,AINSWORTH COMMUNITY SCHOOLS,3102790,AINSWORTH,69210,AINSWORTH,69210,Yes participating without using any Provision or the CEO,36,,7
NE,AINSWORTH MIDDLE SCHOOL,310279000202,AINSWORTH COMMUNITY SCHOOLS,3102790,AINSWORTH,69210,AINSWORTH,69210,Yes participating without using any Provision or the CEO,112,,49
NV,Al Seeliger Elementary,320039000282,Carson City,3200390,Carson City,89701,Carson City,89701,Yes participating without using any Provision or the CEO,525,188,207
NV,Alamo Tony ES,320006000547,Clark County,3200060,Las Vegas,89139,Las Vegas,89139,Yes under Community Eligibility Option (CEO),871,422,871
MO,ALBANY HIGH,290297000010,ALBANY R-III,2902970,ALBANY,64402,ALBANY,64402,Yes participating without using any Provision or the CEO,128,20,67
MO,ALBANY MIDDLE,290297001478,ALBANY R-III,2902970,ALBANY,64402,ALBANY,64402,Yes participating without using any Provision or the CEO,92,10,40
NV,Albert M. Lowry High School,320021000149,Humboldt,3200210,Winnemucca,89445,Winnemucca,89445,Yes participating without using any Provision or the CEO,989,315,351
MT,Alberton Elementary,300186000003,Alberton K-12 Schools,3001860,Alberton,59820,Alberton,59820,Yes under Community Eligibility Option (CEO),70,,70
MT,Alberton High School,300186000004,Alberton K-12 Schools,3001860,Alberton,59820,Alberton,59820,Yes under Community Eligibility Option (CEO),36,,36
MT,Alberton Middle School,300186001007,Alberton K-12 Schools,3001860,Alberton,59820,Alberton,59820,Yes under Community Eligibility Option (CEO),36,,36
NE,ALCOTT ELEMENTARY SCHOOL,317158001050,HASTINGS PUBLIC SCHOOLS,3171580,HASTINGS,68901,HASTINGS,68901,Yes participating without using any Provision or the CEO,270,,212
MT,Alder School,301746000541,Alder Elem,3017460,Alder,59710,Alder,59710,Yes participating without using any Provision or the CEO,15,,10
NE,ALDRICH ELEMENTARY,317374000244,MILLARD PUBLIC SCHOOLS,3173740,OMAHA,68118,OMAHA,68118,Yes participating without using any Provision or the CEO,436,,51
NE,ALEGENT/IMMANUEL RTC,310018102199,ALEGENT/IMMANUEL RTC,3100181,OMAHA,68122,OMAHA,68122,No,0,,
MO,ALEXANDER DONIPHAN ELEM.,291854001004,LIBERTY 53,2918540,LIBERTY,64068,LIBERTY,64068,Yes participating without using any Provision or the CEO,334,24,81
MO,ALEXANDER ELEM.,292836001749,SLATER,2928360,SLATER,65349,SLATER,65349,Yes under Community Eligibility Option (CEO),220,45,220
NE,ALFONZA W DAVIS MIDDLE SCHOOL,317482002278,OMAHA PUBLIC SCHOOLS,3174820,OMAHA,68142,OMAHA,68142,Yes under Community Eligibility Option (CEO),746,583,
MO,ALFRED L. RENNER ELEM.,292355001366,PARK HILL,2923550,KANSAS CITY,64153,KANSAS CITY,64153,Yes participating without using any Provision or the CEO,437,55,176
MO,ALGOA CORRECTIONAL CENTER,290003002980,DEPARTMENT OF CORRECTIONS,2900030,Jefferson City,65101,Jefferson City,65101,No,0,,
NE,ALICE BUFFETT MAGNET MIDDLE SCHOOL,317482001431,OMAHA PUBLIC SCHOOLS,3174820,OMAHA,68164,OMAHA,68164,Yes under Community Eligibility Option (CEO),913,548,
NV,ALICE MAXWELL ELEMENTARY,320048000202,Washoe County,3200480,SPARKS,89431,SPARKS,89431,Yes under Community Eligibility Option (CEO),392,232,392
NV,ALICE SMITH ELEMENTARY,320048000388,Washoe County,3200480,RENO,89506,RENO,89506,Yes under Community Eligibility Option (CEO),532,248,532
MT,Alkali Creek School,300387000808,Billings Elem,3003870,Billings,59105,Billings,59101,Yes participating without using any Provision or the CEO,321,,71
NV,Allen Dean LaMar ES,320006000437,Clark County,3200060,Las Vegas,89149,Las Vegas,89149,Yes under Community Eligibility Option (CEO),408,145,408
NE,ALLEN ELEMENTARY SCHOOL,310288000009,ALLEN CONSOLIDATED SCHOOLS,3102880,ALLEN,68710,ALLEN,68710,Yes participating without using any Provision or the CEO,79,,44
NE,ALLEN HIGH SCHOOL,310288000010,ALLEN CONSOLIDATED SCHOOLS,3102880,ALLEN,68710,ALLEN,68710,Yes participating without using any Provision or the CEO,65,,33
MO,ALLEN VILLAGE ELEMENTARY ACADE,290002502748,ALLEN VILLAGE,2900025,KANSAS CITY,64111,KANSAS CITY,64111,Yes participating without using any Provision or the CEO,102,36,91
MO,ALLEN VILLAGE HIGH SCHOOL,290002503233,ALLEN VILLAGE,2900025,KANSAS CITY,64111,KANSAS CITY,64111,Yes participating without using any Provision or the CEO,133,22,116
MO,ALLEN VILLAGE JUNIOR ACADEMY,290002503325,ALLEN VILLAGE,2900025,KANSAS CITY,64111,KANSAS CITY,64111,Yes participating without using any Provision or the CEO,101,28,93
MO,ALLEN VILLAGE PRESCHOOL,290002503379,ALLEN VILLAGE,2900025,Kansas City,64111,Kansas City,64111,Yes participating without using any Provision or the CEO,12,7,9
MO,ALLEN VILLAGE PRIMARY ACADEMY,290002503327,ALLEN VILLAGE,2900025,KANSAS CITY,64111,KANSAS CITY,64111,Yes participating without using any Provision or the CEO,74,25,70
NH,Allenstown Elementary School,330138000001,Allenstown School District,3301380,Allenstown,03275,Allenstown,03275,Yes participating without using any Provision or the CEO,205,,81
NE,ALLIANCE EARLY CHILD ED PROG,310291001854,ALLIANCE PUBLIC SCHOOLS,3102910,ALLIANCE,69301,ALLIANCE,69301,No,75,,44
NE,ALLIANCE HIGH SCHOOL,310291000011,ALLIANCE PUBLIC SCHOOLS,3102910,ALLIANCE,69301,ALLIANCE,69301,Yes participating without using any Provision or the CEO,460,,225
NE,ALLIANCE MIDDLE SCHOOL,310291000012,ALLIANCE PUBLIC SCHOOLS,3102910,ALLIANCE,69301,ALLIANCE,69301,Yes participating without using any Provision or the CEO,276,,175
NE,ALMA ELEMENTARY AT ALMA,310008000016,ALMA PUBLIC SCHOOLS,3100080,ALMA,68920,ALMA,68920,Yes participating without using any Provision or the CEO,199,,83
NE,ALMA HIGH SCHOOL,310008000017,ALMA PUBLIC SCHOOLS,3100080,ALMA,68920,ALMA,68920,Yes participating without using any Provision or the CEO,183,,74
MO,ALMA SCHRADER ELEM.,290712000184,CAPE GIRARDEAU 63,2907120,CAPE GIRARDEAU,63701,CAPE GIRARDEAU,63701,Yes under Community Eligibility Option (CEO),357,79,357
MO,ALPHA HART LEWIS,290100003152,COLUMBIA 93,2901000,COLUMBIA,65202,COLUMBIA,65202,Yes under Community Eligibility Option (CEO),466,145,463
NV,Alpine Academy High School,320000100800,State Sponsored Charter Schools,3200001,Sparks,89434,Sparks,89434,No,157,,
NH,Alstead Primary School,330299000113,Fall Mountain Regional School District,3302990,Alstead,03602,Alstead,03602,Yes participating without using any Provision or the CEO,67,,25
MO,Alt Center for Educ Success,292110001853,MOBERLY,2921100,MOBERLY,65270,MOBERLY,65270,No,0,,
NV,ALT School,320009000764,Douglas,3200090,Minden,89423,Minden,89423,Yes participating without using any Provision or the CEO,2,,
MO,ALT. RESOURCE CTR.,292706002445,ST. JOSEPH,2927060,ST JOSEPH,64506,ST JOSEPH,64506,No,0,,
MO,ALTENBURG ELEM.,290304000014,ALTENBURG 48,2903040,ALTENBURG,63732,ALTENBURG,63732,Yes participating without using any Provision or the CEO,98,7,28
MO,ALTERNATIVE RESOURCE CTR.,290000901287,DIVISION OF YOUTH SERVICE,2900009,KANSAS CITY,64111,KANSAS CITY,64111,Yes participating without using any Provision or the CEO,10,4,7
MO,ALTERNATIVE SCHOOL,291845002667,LESTERVILLE R-IV,2918450,Lesterville,63654,Lesterville,63654,Yes participating without using any Provision or the CEO,38,29,35
NE,ALTERNATIVES FOR SUCCESS SCH,317443001040,NORFOLK PUBLIC SCHOOLS,3174430,NORFOLK,68701,NORFOLK,68702,No,0,,
NH,Alton Central School (Elem),330144000003,Alton School District,3301440,Alton,03809,Alton,03809,Yes participating without using any Provision or the CEO,418,,62
MO,Alton Elementary,290306000015,ALTON R-IV,2903060,Alton,65606,Alton,65606,Yes participating without using any Provision or the CEO,273,119,179
MO,Alton High,290306000016,ALTON R-IV,2903060,Alton,65606,Alton,65606,Yes participating without using any Provision or the CEO,313,92,177
NH,Alvirne High School,330393000179,Hudson School District,3303930,Hudson,03051,Hudson,03051,Yes participating without using any Provision or the CEO,1019,,170
NV,ALYCE TAYLOR ELEMENTARY,320048000390,Washoe County,3200480,SPARKS,89441,SPARKS,89441,Yes participating without using any Provision or the CEO,439,91,93
MT,Alzada School,300195000006,Alzada Elem,3001950,Alzada,59311,Alzada,59311,No,11,,
NV,Amargosa Valley Elementary School,320036000185,Nye,3200360,Amargosa,89020,Amargosa,89020,Yes under Community Eligibility Option (CEO),97,58,97
NV,Amargosa Valley Middle School,320036000564,Nye,3200360,Amargosa,89020,Amargosa,89020,Yes under Community Eligibility Option (CEO),54,34,54
MO,AMAZONIA ELEM.,292757001688,SAVANNAH R-III,2927570,AMAZONIA,64421,AMAZONIA,64421,Yes participating without using any Provision or the CEO,98,18,51
MO,AMES VISUAL/PERF. ARTS,292928002570,ST. LOUIS CITY,2929280,ST LOUIS,63107,ST LOUIS,63107,Yes under Community Eligibility Option (CEO),154,105,154
NE,AMHERST ELEMENTARY SCHOOL,310007000018,AMHERST PUBLIC SCHOOLS,3100070,AMHERST,68812,AMHERST,68812,Yes participating without using any Provision or the CEO,213,,42
NE,AMHERST HIGH SCHOOL,310007000019,AMHERST PUBLIC SCHOOLS,3100070,AMHERST,68812,AMHERST,68812,Yes participating without using any Provision or the CEO,167,,37
NH,Amherst Middle School,330147000007,Amherst School District,3301470,Amherst,03031,Amherst,03031,Yes participating without using any Provision or the CEO,644,,39
NH,Amherst Street School,330498000310,Nashua School District,3304980,Nashua,03064,Nashua,03064,Yes participating without using any Provision or the CEO,286,,198
NV,Amplus Durango,320000100848,State Sponsored Charter Schools,3200001,Las Vegas,89113,Las Vegas,89113,No,1690,,
NV,Amplus Rainbow,320000100956,State Sponsored Charter Schools,3200001,Las Vegas,89118,Las Vegas,89118,No,628,,
MT,Amsterdam School,300198000007,Amsterdam Elem,3001980,Manhattan,59741,Manhattan,59741,No,166,,14
MT,Anaconda Jr High School,300201000014,Anaconda Elem,3002010,Anaconda,59711,Anaconda,59711,Yes under Community Eligibility Option (CEO),168,,141
MT,Anaconda Sr High School,300203000015,Anaconda H S,3002030,Anaconda,59711,Anaconda,59711,Yes under Community Eligibility Option (CEO),298,,253
NE,ANCHOR POINTE ELEMENTARY,310399002403,BENNINGTON PUBLIC SCHOOLS,3103990,BENNINGTON,68007,BENNINGTON,68007,No,491,,47
MT,Anderson 7-8,300207000976,Anderson Elem,3002070,Bozeman,59718,Bozeman,59718,Yes participating without using any Provision or the CEO,50,,3
MO,ANDERSON ELEM.,292061001100,MCDONALD CO. R-I,2920610,ANDERSON,64831,ANDERSON,64831,Yes participating without using any Provision or the CEO,532,159,339
NV,ANDERSON ELEMENTARY,320048000203,Washoe County,3200480,RENO,89509,RENO,89509,Yes under Community Eligibility Option (CEO),309,194,310
NE,ANDERSON GROVE ELEMENTARY SCH,317527001900,PAPILLION LA VISTA COMMUNITY SCHOOLS,3175270,BELLEVUE,68123,BELLEVUE,68123,Yes participating without using any Provision or the CEO,323,,67
MO,ANDERSON MIDDLE,292061003007,MCDONALD CO. R-I,2920610,ANDERSON,64831,ANDERSON,64831,Yes participating without using any Provision or the CEO,257,69,170
MT,Anderson School,300207000016,Anderson Elem,3002070,Bozeman,59718,Bozeman,59718,Yes participating without using any Provision or the CEO,168,,3
NH,Andover Elementary School,330150000008,Andover School District,3301500,Andover,03216,Andover,03216,Yes participating without using any Provision or the CEO,192,,49
MO,ANN HAWKINS GENTRY MID. SCHOOL,290100000841,COLUMBIA 93,2901000,COLUMBIA,65203,COLUMBIA,65203,Yes participating without using any Provision or the CEO,730,90,245
MT,Anna Jeffries Elementary,300000300233,Cut Bank Elem,3000003,Cut Bank,59427,Cut Bank,59427,Yes participating without using any Provision or the CEO,116,,78
NE,ANSELMO-MERNA ELEMENTARY-MERNA,310001000021,ANSELMO-MERNA PUBLIC SCHOOLS,3100010,MERNA,68856,MERNA,68856,Yes participating without using any Provision or the CEO,149,,55
NE,ANSELMO-MERNA HIGH SCHOOL,310001000022,ANSELMO-MERNA PUBLIC SCHOOLS,3100010,MERNA,68856,MERNA,68856,Yes participating without using any Provision or the CEO,97,,31
NE,ANSLEY ELEMENTARY SCHOOL,310306000023,ANSLEY PUBLIC SCHOOLS,3103060,ANSLEY,68814,ANSLEY,68814,Yes under Community Eligibility Option (CEO),115,85,
NE,ANSLEY HIGH SCHOOL,310306000024,ANSLEY PUBLIC SCHOOLS,3103060,ANSLEY,68814,ANSLEY,68814,Yes under Community Eligibility Option (CEO),82,60,
MO,ANTIOCH MIDDLE,292280001258,NORTH KANSAS CITY 74,2922800,GLADSTONE,64118,GLADSTONE,64118,Yes participating without using any Provision or the CEO,869,129,421
NV,Antonello Lee ES,320006000077,Clark County,3200060,N  Las Vegas,89031,N  Las Vegas,89031,Yes under Community Eligibility Option (CEO),526,282,526
MO,ANTONIA ELEM.,291230000497,FOX C-6,2912300,IMPERIAL,63052,IMPERIAL,63052,Yes participating without using any Provision or the CEO,474,69,117
MO,ANTONIA MIDDLE SCHOOL,291230003151,FOX C-6,2912300,BARNHART,63012,BARNHART,63012,Yes participating without using any Provision or the CEO,547,72,172
NH,Antrim Elementary School,330248000065,Contoocook Valley School District,3302480,Antrim,03440,Antrim,03440,Yes participating without using any Provision or the CEO,132,,39
MO,APPLETON CITY ELEM.,290312000017,APPLETON CITY R-II,2903120,APPLETON CITY,64724,APPLETON CITY,64724,No,0,,
MO,APPLETON CITY HIGH,290312000019,APPLETON CITY R-II,2903120,APPLETON CITY,64724,APPLETON CITY,64724,Yes participating without using any Provision or the CEO,158,24,61
NE,ARAPAHOE ELEMENTARY SCHOOL,310309000025,ARAPAHOE PUBLIC SCHOOLS,3103090,ARAPAHOE,68922,ARAPAHOE,68922,Yes participating without using any Provision or the CEO,174,,95
NE,ARAPAHOE HIGH SCHOOL,310309000026,ARAPAHOE PUBLIC SCHOOLS,3103090,ARAPAHOE,68922,ARAPAHOE,68922,Yes participating without using any Provision or the CEO,147,,73
NE,ARBOR VIEW ELEMENTARY SCHOOL,317011002337,ELKHORN PUBLIC SCHOOLS,3170110,ELKHORN,68022,ELKHORN,68022,No,496,,71
NV,Arbor View HS,320006000661,Clark County,3200060,Las Vegas,89131,Las Vegas,89131,Yes under Community Eligibility Option (CEO),3177,894,3177
NE,ARCADIA ELEMENTARY SCHOOL,310312000027,ARCADIA PUBLIC SCHOOLS,3103120,ARCADIA,68815,ARCADIA,68815,Yes participating without using any Provision or the CEO,75,,36
NE,ARCADIA HIGH SCHOOL,310312000028,ARCADIA PUBLIC SCHOOLS,3103120,ARCADIA,68815,ARCADIA,68815,Yes participating without using any Provision or the CEO,51,,27
MO,ARCADIA VALLEY CAREER TECH CTR,290315000020,ARCADIA VALLEY R-II,2903150,IRONTON,63650,IRONTON,63650,No,0,,
MO,ARCADIA VALLEY ELEM.,290315000021,ARCADIA VALLEY R-II,2903150,IRONTON,63650,IRONTON,63650,Yes under Community Eligibility Option (CEO),396,126,397
MO,ARCADIA VALLEY HIGH,290315000022,ARCADIA VALLEY R-II,2903150,IRONTON,63650,IRONTON,63650,Yes under Community Eligibility Option (CEO),335,75,82
MO,ARCADIA VALLEY MIDDLE,290315000023,ARCADIA VALLEY R-II,2903150,IRONTON,63650,IRONTON,63650,Yes under Community Eligibility Option (CEO),261,77,261
NV,ARCHIE CLAYTON PRE-A.P. ACADEMY,320048000204,Washoe County,3200480,RENO,89503,RENO,89503,Yes under Community Eligibility Option (CEO),695,321,695
MO,ARCHIE ELEMENTARY,290320000024,ARCHIE R-V,2903200,ARCHIE,64725,ARCHIE,64725,Yes participating without using any Provision or the CEO,241,27,78
MO,ARCHIE HIGH SCHOOL,290320000025,ARCHIE R-V,2903200,ARCHIE,64725,ARCHIE,64725,Yes participating without using any Provision or the CEO,283,21,95
MT,Arlee 7-8,300222000900,Arlee Elem,3002220,Arlee,59821,Arlee,59821,Yes under Community Eligibility Option (CEO),54,,54
MT,Arlee Elementary,300222000019,Arlee Elem,3002220,Arlee,59821,Arlee,59821,Yes under Community Eligibility Option (CEO),193,,193
MT,Arlee High School,300225000020,Arlee H S,3002250,Arlee,59821,Arlee,59821,Yes under Community Eligibility Option (CEO),140,,140
NE,ARLINGTON ELEMENTARY SCHOOL,310313000029,ARLINGTON PUBLIC SCHOOLS,3103130,ARLINGTON,68002,ARLINGTON,68002,Yes participating without using any Provision or the CEO,368,,89
NE,ARLINGTON HIGH SCHOOL,310313000030,ARLINGTON PUBLIC SCHOOLS,3103130,ARLINGTON,68002,ARLINGTON,68002,Yes participating without using any Provision or the CEO,341,,84
NH,Armand R. Dupont School,330138000002,Allenstown School District,3301380,Allenstown,03275,Allenstown,03275,Yes participating without using any Provision or the CEO,130,,50
MO,ARMSTRONG ELEM.,291383000613,HAZELWOOD,2913830,HAZELWOOD,63042,HAZELWOOD,63042,Yes under Community Eligibility Option (CEO),373,181,287
NE,ARNOLD ELEMENTARY SCHOOL,310007300031,ARNOLD PUBLIC SCHOOLS,3100073,ARNOLD,69120,ARNOLD,69120,Yes participating without using any Provision or the CEO,116,,51
NE,ARNOLD ELEMENTARY SCHOOL,317284001136,LINCOLN PUBLIC SCHOOLS,3172840,LINCOLN,68524,LINCOLN,68524,Yes participating without using any Provision or the CEO,687,,462
NE,ARNOLD HIGH SCHOOL,310007300032,ARNOLD PUBLIC SCHOOLS,3100073,ARNOLD,69120,ARNOLD,69120,Yes participating without using any Provision or the CEO,80,,30
MT,Arrow Creek Elem School,302172000647,Pryor Elem,3021720,Pryor,59066,Pryor,59066,Yes under Community Eligibility Option (CEO),54,,54
MT,Arrowhead 7-8,300230000199,Arrowhead Elem,3002300,Pray,59065,Pray,59065,Yes participating without using any Provision or the CEO,7,,
MT,Arrowhead School,300230000022,Arrowhead Elem,3002300,Pray,59065,Pray,59065,Yes participating without using any Provision or the CEO,72,,40
MT,Arrowhead School,300387000059,Billings Elem,3003870,Billings,59102,Billings,59101,Yes participating without using any Provision or the CEO,428,,44
