st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
CA,Abraham Lincoln High,063459005696,San Jose Unified,0634590,San Jose,95126,Testville,98798,Yes participating without using any Provision or the CEO,1596,438,892
CA,Abraham Lincoln Jr. High,060363007992,Bakersfield City,0603630,Bakersfield,93305,Bakersfield,93305,Yes under Community Eligibility Option (CEO),498,363,476
CA,Abraham Lincoln Middle,063627001989,Selma Unified,0636270,Selma,93662,Selma,93662,Yes under Community Eligibility Option (CEO),922,596,838
CA,Abraham Lincoln Senior High,062271003139,Los Angeles Unified,0622710,Los Angeles,90031,Los Angeles,90031,Yes under Community Eligibility Option (CEO),942,548,806
AZ,Abraham Lincoln Traditional School,040906000652,Washington Elementary School District (4260),0409060,PHOENIX,85051,PHOENIX,85051,Yes under Community Eligibility Option (CEO),537,185,
CA,Abram Agnew Elementary,063543014546,Santa Clara Unified,0635430,San Jose,95134,San Jose,95134,Yes participating without using any Provision or the CEO,401,78,104
AL,Abrams Elementary School,010033001479,Bessemer City,0100330,Bessemer,35020,Bessemer,35020,Yes under Community Eligibility Option (CEO),217,174,173
CA,Abraxas Continuation High,063153004883,Poway Unified,0631530,Poway,92064,Poway,92064,Yes participating without using any Provision or the CEO,243,63,90
CA,Acacia Elementary,061473001790,Fullerton Elementary,0614730,Fullerton,92831,Fullerton,92831,Yes participating without using any Provision or the CEO,668,109,174
AZ,Acacia Elementary School,040906000915,Washington Elementary School District (4260),0409060,PHOENIX,85053,PHOENIX,85053,Yes under Community Eligibility Option (CEO),825,455,
AZ,Acacia Elementary School,040885001510,Vail Unified District (4413),0408850,VAIL,85641,VAIL,85641,Yes participating without using any Provision or the CEO,734,153,
CA,Acacia Magnet School for Enriched Learning,060964001004,Conejo Valley Unified,0609640,Thousand Oaks,91360,Thousand Oaks,91360,Yes participating without using any Provision or the CEO,369,90,145
CA,Acacia Middle,061692002148,Hemet Unified,0616920,Hemet,92543,Hemet,92543,Yes under Community Eligibility Option (CEO),962,636,899
CA,Academia Avance Charter,060229110895,Academia Avance Charter District,0602291,Highland Park,90042,Los Angeles,90042,Yes under Community Eligibility Option (CEO),241,141,145
CA,Academia Moderna,060236112455,Academia Moderna District,0602361,Walnut Park,90255,Walnut Park,90255,Yes under Community Eligibility Option (CEO),444,274,410
AR,ACADEMIES AT RIVERCREST HIGH SCHOOL,050004501204,RIVERCREST SCHOOL DISTRICT,0500045,WILSON,72395,WILSON,72395,Yes under Community Eligibility Option (CEO),346,62,346
CA,Academies of Education and Empowerment at Carson High,062271013040,Los Angeles Unified,0622710,Carson,90745,Carson,90745,,493,193,374
AR,ACADEMIES OF MATH AND SCIENCES SCHOOL,051449905192,ACADEMIES OF MATH AND SCIENCES SCHOOL,0514499,LITTLE ROCK,72204,LITTLE ROCK,72204,,,,
CA,Academies of the Antelope Valley,060282013154,Antelope Valley Union High,0602820,Quartz Hill,93536,Quartz Hill,93536,,668,286,389
CA,Academy (The)- SF @McAteer,063441012526,San Francisco Unified,0634410,San Francisco,94131,San Francisco,94131,,265,125,155
AZ,Academy Adventures Mid-town,040061302861,Educational Impact Inc. (81123),0400613,TUCSON,85719,TUCSON,85718,,,,
AZ,Academy Adventures Midtown,040081703191,Ed Ahead (90506),0400817,TUCSON,85716,TUCSON,85716,Yes under Community Eligibility Option (CEO),23,20,
AK,Academy Charter School,020051000311,Matanuska-Susitna Borough School District,0200510,Palmer,99645,Palmer,99645,No,267,45,
AZ,Academy Del Sol,040079702994,Academy Del Sol Inc. (90199),0400797,TUCSON,85705,TUCSON,85705,Yes under Community Eligibility Option (CEO),163,121,
AZ,Academy Del Sol - Star Valley,040079703230,Academy Del Sol Inc. (90199),0400797,TUCSON,85757,TUCSON,85757,Yes participating without using any Provision or the CEO,497,217,
CA,Academy for Academic Excellence,060191107296,Academy for Academic Excellence District,0601911,Apple Valley,92307,Apple Valley,92307,Yes participating without using any Provision or the CEO,1496,409,594
AL,Academy For Academics  Arts Elementary School,010180000620,Huntsville City,0101800,Huntsville,35810,Huntsville,35810,Yes under Community Eligibility Option (CEO),395,215,156
AL,Academy for Academics and Arts Middle School,010180002478,Huntsville City,0101800,Huntsville,35810,Huntsville,35810,Yes under Community Eligibility Option (CEO),264,125,50
CA,Academy for Change,060837011853,Chico Unified,0608370,Chico,95926,Chico,95926,Yes under Community Eligibility Option (CEO),20,17,19
CA,Academy for Enriched Sciences,062271013006,Los Angeles Unified,0622710,Encino,91316,Encino,91316,Yes under Community Eligibility Option (CEO),307,49,96
AL,Academy For Science  Foreign Language,010180000624,Huntsville City,0101800,Huntsville,35801,Huntsville,35810,Yes under Community Eligibility Option (CEO),303,166,181
AL,Academy For Science  Foreign Language Middle School,010180002486,Huntsville City,0101800,Huntsville,35810,Huntsville,35810,Yes under Community Eligibility Option (CEO),177,105,48
AZ,Academy of Building Industries,040041402412,Academy of Building Industries Inc. (85540),0400414,FORT MOHAVE,86426,FORT MOHAVE,86426,No,105,,
CA,Academy of Careers and Exploration,061686012368,Helendale Elementary,0616860,Helendale,92342,Helendale,92342,Yes participating without using any Provision or the CEO,284,98,145
CA,Academy of Innovation,061692009555,Hemet Unified,0616920,Hemet,92543,Hemet,92543,Yes under Community Eligibility Option (CEO),625,374,539
CA,Academy of Innovation,060985014184,Corona-Norco Unified,0609850,Norco,92860,Norco,92860,Yes participating without using any Provision or the CEO,588,151,408
AZ,Academy of Math and Science,040036802037,Academy of Mathematics and Science Inc. (79961),0400368,TUCSON,85705,TUCSON,85705,Yes under Provision 2,607,327,
AZ,Academy of Math and Science Advanced Virtual Academy,040036803755,Academy of Mathematics and Science Inc. (79961),0400368,TUCSON,85719,TUCSON,85719,,,,
AZ,Academy of Math and Science Avondale,040089103676,Academy of Mathematics and Science South Inc. (90878),0400891,Phoenix,85353,TUCSON,85719,Yes participating without using any Provision or the CEO,1160,564,
AZ,Academy of Math and Science Camelback,040094003499,Academy of Mathematics and Science Inc. (92768),0400940,PHOENIX,85033,PHOENIX,85033,Yes participating without using any Provision or the CEO,1072,659,
AZ,Academy of Math and Science Desert Sky,040089103581,Academy of Mathematics and Science South Inc. (90878),0400891,PHOENIX,85035,TUCSON,85719,Yes participating without using any Provision or the CEO,1354,900,
AZ,Academy of Math and Science Glendale,040089103618,Academy of Mathematics and Science South Inc. (90878),0400891,GLENDALE,85301,TUCSON,85719,Yes participating without using any Provision or the CEO,1246,798,
AZ,Academy of Math and Science Peoria Advanced,040089103604,Academy of Mathematics and Science South Inc. (90878),0400891,PEORIA,85345,TUCSON,85719,Yes under Community Eligibility Option (CEO),871,464,
AZ,Academy of Math and Science South Mountain,040089103677,Academy of Mathematics and Science South Inc. (90878),0400891,PHOENIX,85041,TUCSON,85719,Yes participating without using any Provision or the CEO,943,581,
AZ,Academy of Mathematics and Science South,040089103399,Academy of Mathematics and Science South Inc. (90878),0400891,PHOENIX,85017,TUCSON,85705,Yes under Provision 2,577,337,
CA,Academy of Medical Arts at Carson High,062271013104,Los Angeles Unified,0622710,Carson,90745,Carson,90745,,457,155,374
CA,Academy of Technology & Leadership at Saticoy,064098006765,Ventura Unified,0640980,Ventura,93004,Ventura,93004,Yes participating without using any Provision or the CEO,424,108,237
CA,Academy of the Canyons,064251008517,William S. Hart Union High,0642510,Santa Clarita,91355,Santa Clarita,91355,Yes under Provision 2,390,47,47
CA,Academy of the Redwoods,061419010801,Fortuna Union High,0614190,Eureka,95501,Fortuna,95540,Yes under Community Eligibility Option (CEO),165,56,68
AZ,Academy of Tucson Elementary School,040020203141,Academy of Tucson Inc. (78897),0400202,TUCSON,85715,TUCSON,85715,Yes participating without using any Provision or the CEO,147,65,
AZ,Academy of Tucson High School,040020201959,Academy of Tucson Inc. (78897),0400202,TUCSON,85748,TUCSON,85748,Yes participating without using any Provision or the CEO,151,48,
AZ,Academy of Tucson Middle School,040020202312,Academy of Tucson Inc. (78897),0400202,TUCSON,85749,TUCSON,85710,Yes participating without using any Provision or the CEO,145,67,
CA,Academy Performing Preschool,064104013396,Victor Elementary,0641040,Victorville,92395,Victorville,92395,,,,
AZ,Academy with Community Partners,040027601841,Academy with Community Partners-Arizona Inc (79213),0400276,MESA,85203,MESA,85203,No,184,,
CA,Acalanes Center for Independent Study,060165010751,Acalanes Union High,0601650,Walnut Creek,94595,Walnut Creek,94595,,51,11,12
CA,Acalanes High,060165000032,Acalanes Union High,0601650,Lafayette,94549,Lafayette,94549,Yes participating without using any Provision or the CEO,1250,91,103
CA,Accelerated,060173203245,Accelerated District,0601732,Los Angeles,90037,Los Angeles,90037,,745,473,733
CA,Accelerated Achievement Academy,061734012565,Hollister,0617340,Hollister,95023,Hollister,95023,,162,39,71
CA,Accelerated Charter Elementary,060147110830,Accelerated Charter Elementary District,0601471,Los Angeles,90037,Los Angeles,90037,Yes under Community Eligibility Option (CEO),517,336,512
CA,Accelerated Charter High,063993013976,Tulare Joint Union High,0639930,Tulare,93274,Tulare,93274,Yes under Community Eligibility Option (CEO),179,117,168
AZ,Accelerated Learning Center,040012101581,Accelerated Learning Center Inc. (4297),0400121,PHOENIX,85028,PHOENIX,85028,No,119,,
AL,Acceleration Day and Evening Academy,010019702432,MAEF Public Charter Schools,0100197,MOBILE,36608,MOBILE,36608,Yes under Community Eligibility Option (CEO),385,340,277
AL,Acceleration Preparatory Academy,010019702527,MAEF Public Charter Schools,0100197,MOBILE,36608,MOBILE,36608,Yes under Community Eligibility Option (CEO),327,303,260
CA,ACCESS County Community,069102410567,Orange County Department of Education,0691024,Costa Mesa,92628,Costa Mesa,92628,,1525,937,1340
CA,ACCESS Juvenile Hall,069102409236,Orange County Department of Education,0691024,Costa Mesa,92626,Costa Mesa,92628,,183,180,180
AZ,ACCLAIM Academy,040012201585,Acclaim Charter School (4325),0400122,PHOENIX,85033,PHOENIX,85033,Yes under Provision 2,266,159,
CA,ACE Charter High,060156113023,ACE Charter High District,0601561,San Jose,95133,San Jose,95133,,341,138,305
AZ,ACE Day & Night School  - Closed,040630003174,Phoenix Elementary District (4256),0406300,PHOENIX,85006,PHOENIX,85006,,,,
CA,ACE Empower Academy,060221712198,ACE Empower Academy District,0602217,San Jose,95116,San Jose,95116,Yes under Provision 2,193,86,178
CA,ACE Esperanza Middle,060185213740,ACE Esperanza Middle District,0601852,San Jose,95112,San Jose,95112,Yes under Provision 2,230,94,196
CA,ACE Inspire Academy,060213813852,ACE Inspire Academy District,0602138,San Jose,95112,San Jose,95126,Yes under Provision 2,219,91,182
CA,Achieve Academy,060216511561,Achieve Academy District,0602165,Oakland,94621,Oakland,94621,Yes under Community Eligibility Option (CEO),542,316,493
CA,Achieve Charter High,069100214213,Butte County Office of Education,0691002,Chico,95926,Chico,95926,,0,,
CA,Achieve Charter School of Chico,060257014596,Achieve Charter School of Chico District,0602570,Chico,95926,Chico,95926,,215,62,86
CA,Achieve Charter School of Paradise Inc.,060213311571,Achieve Charter School of Paradise Inc. District,0602133,Paradise,95969,Chico,95928,Yes under Community Eligibility Option (CEO),141,46,69
AR,ACORN ELEMENTARY SCHOOL,050007300001,OUACHITA RIVER SCHOOL DISTRICT,0500073,MENA,71953,MENA,71953,Yes participating without using any Provision or the CEO,343,64,264
AR,ACORN HIGH SCHOOL,050007300002,OUACHITA RIVER SCHOOL DISTRICT,0500073,MENA,71953,MENA,71953,Yes participating without using any Provision or the CEO,267,44,164
AZ,Acorn Montessori Charter School,040032002227,Acorn Montessori Charter School (79437),0400320,Prescott Valley,86314,Prescott Valley,86314,Yes participating without using any Provision or the CEO,278,132,
AZ,Acorn Montessori Charter School Inc. - West,040032002576,Acorn Montessori Charter School (79437),0400320,Prescott Valley,86314,Prescott Valley,86314,Yes participating without using any Provision or the CEO,256,111,
CA,ACORN Woodland Elementary,062805010730,Oakland Unified,0628050,Oakland,94621,Oakland,94621,Yes under Community Eligibility Option (CEO),290,150,280
CA,Ada Clegg Elementary,064215012492,Westminster,0642150,Huntington Beach,92647,Huntington Beach,92647,Yes under Community Eligibility Option (CEO),473,153,274
CA,Ada Givens Elementary,062460003686,Merced City Elementary,0624600,Merced,95340,Merced,95340,Yes under Community Eligibility Option (CEO),546,339,446
CA,Ada S. Nelson Elementary,062289003501,Los Nietos,0622890,Whittier,90606,Whittier,90606,Yes under Community Eligibility Option (CEO),378,208,273
CA,Ada W. Harris Elementary,060747000706,Cardiff Elementary,0607470,Cardiff-by-the-Sea,92007,Cardiff-by-the-Sea,92007,Yes participating without using any Provision or the CEO,382,46,56
CA,Adaline E. Kent Middle,061938002329,Kentfield Elementary,0619380,Kentfield,94904,Kentfield,94904,,513,57,60
CA,Adam (William Laird) Elementary,060558009312,Santa Maria-Bonita,0605580,Santa Maria,93458,Santa Maria,93458,Yes under Community Eligibility Option (CEO),870,622,837
CA,Adams (J. Douglas) Middle,060591011574,Brentwood Union,0605910,Brentwood,94513,Brentwood,94513,Yes under Provision 2,1119,183,187
CA,Adams Elementary,063531005981,Santa Ana Unified,0635310,Santa Ana,92704,Santa Ana,92704,Yes under Community Eligibility Option (CEO),328,192,300
CA,Adams Elementary,063432005407,San Diego Unified,0634320,San Diego,92116,San Diego,92116,Yes under Community Eligibility Option (CEO),289,145,219
CA,Adams Elementary,063801006398,Stockton Unified,0638010,Stockton,95207,Stockton,95207,Yes under Community Eligibility Option (CEO),512,345,427
CA,Adams Elementary,062724009593,Newport-Mesa Unified,0627240,Costa Mesa,92626,Costa Mesa,92626,Yes under Community Eligibility Option (CEO),326,161,255
CA,Adams Elementary,063315005129,Riverside Unified,0633150,Riverside,92504,Riverside,92504,Yes under Community Eligibility Option (CEO),478,247,284
CA,Adams Elementary,060141406015,Santa Barbara Unified,0601414,Santa Barbara,93105,Santa Barbara,93105,Yes under Community Eligibility Option (CEO),491,204,343
AZ,Adams Elementary School,040497000378,Mesa Unified District (4235),0404970,MESA,85202,MESA,85202,Yes participating without using any Provision or the CEO,668,459,
AL,Adams Elementary School,010162001665,Gadsden City,0101620,Gadsden,35903,Gadsden,35903,Yes under Community Eligibility Option (CEO),415,380,399
CA,Adams Middle,060003204949,Redondo Beach Unified,0600032,Redondo Beach,90278,Redondo Beach,90278,Yes participating without using any Provision or the CEO,1137,166,222
AZ,Adams Traditional Academy,040080503050,Choice Academies Inc. (90138),0400805,PHOENIX,85027,PHOENIX,85027,Yes participating without using any Provision or the CEO,573,43,
AL,Adamsville Elementary School,010192000681,Jefferson County,0101920,Adamsville,35005,Adamsville,35005,Yes under Community Eligibility Option (CEO),308,258,255
CA,Addams Elementary,061455001703,Fresno Unified,0614550,Fresno,93728,Fresno,93728,Yes under Community Eligibility Option (CEO),753,567,732
CA,Addams Elementary,062250002695,Long Beach Unified,0622500,Long Beach,90805,Long Beach,90805,Yes under Community Eligibility Option (CEO),747,481,659
CA,Addison Elementary,062961004579,Palo Alto Unified,0629610,Palo Alto,94301,Palo Alto,94301,Yes participating without using any Provision or the CEO,338,50,60
AL,Addison Elementary School,010358001463,Winston County,0103580,Addison,35540,Addison,35540,Yes under Community Eligibility Option (CEO),328,164,172
AL,Addison High School,010358001356,Winston County,0103580,Addison,35540,Addison,35540,Yes under Community Eligibility Option (CEO),256,131,139
CA,Adelante Charter,060234308628,Adelante Charter District,0602343,Santa Barbara,93103,Santa Barbara,93103,Yes under Community Eligibility Option (CEO),306,132,225
CA,Adelante Dual Language Academy,060231011793,Alum Rock Union Elementary,0602310,San Jose,95127,San Jose,95127,Yes under Community Eligibility Option (CEO),498,148,284
CA,Adelante Dual Language Academy II,060231014147,Alum Rock Union Elementary,0602310,San Jose,95116,San Jose,95116,Yes under Community Eligibility Option (CEO),350,142,289
CA,Adelante High,060006111814,Riverbank Unified,0600061,Riverbank,95367,Riverbank,95367,Yes under Community Eligibility Option (CEO),46,34,41
CA,Adelante High,063227002047,Reef-Sunset Unified,0632270,Kettleman City,93239,Kettleman City,93239,Yes under Community Eligibility Option (CEO),0,,
CA,Adelante High (Continuation),063363005189,Roseville Joint Union High,0633630,Roseville,95678,Roseville,95678,Yes under Community Eligibility Option (CEO),105,49,65
CA,Adelante Selby Spanish Immersion,063213004973,Redwood City Elementary,0632130,Atherton,94027,Atherton,94027,Yes under Community Eligibility Option (CEO),556,212,343
CA,Adelanto Elementary,060171000038,Adelanto Elementary,0601710,Adelanto,92301,Adelanto,92301,Yes under Community Eligibility Option (CEO),272,227,241
CA,Adelanto High,063697212990,Victor Valley Union High,0636972,Adelanto,92392,Adelanto,92392,Yes under Community Eligibility Option (CEO),2229,1311,1818
CA,Adelanto Virtual Academy,060171014369,Adelanto Elementary,0601710,Victorville,92394,Victorville,92394,,82,49,62
CA,Adele Harrison Middle,063720010436,Sonoma Valley Unified,0637200,Sonoma,95476,Sonoma,95476,Yes participating without using any Provision or the CEO,330,81,147
AR,ADKINS PRESCHOOL CENTER,050041900901,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,0500419,JACKSONVILLE,72076,JACKSONVILLE,72076,No,217,87,214
CA,Adobe Bluffs Elementary,063153001203,Poway Unified,0631530,San Diego,92129,San Diego,92129,Yes participating without using any Provision or the CEO,549,55,67
AL,Adolescent Day Treatment,010039001296,Birmingham City,0100390,Birmingham,35203,Birmingham,35202,Yes participating without using any Provision or the CEO,,,
CA,Adolfo Camarillo High,062927004516,Oxnard Union High,0629270,Camarillo,93012,Camarillo,93012,Yes under Community Eligibility Option (CEO),1932,401,633
CA,Adrian Wilcox High,063543006055,Santa Clara Unified,0635430,Santa Clara,95051,Santa Clara,95051,Yes participating without using any Provision or the CEO,1695,387,480
CA,Adult Transition Program,060561013847,Bonita Unified,0605610,San Dimas,91773,San Dimas,91773,,11,5,5
CA,Advanced Learning Academy,063531014192,Santa Ana Unified,0635310,Santa Ana,92706,Santa Ana,92706,,368,185,280
AR,ADVENTURE ONLINE ACADEMY,051368001714,WALDRON SCHOOL DISTRICT,0513680,Waldron,72958,WALDRON,72958,Yes participating without using any Provision or the CEO,33,7,20
AZ,Adventure School,040061302553,Educational Impact Inc. (81123),0400613,TUCSON,85712,TUCSON,85718,Yes under Community Eligibility Option (CEO),124,74,
CA,Aeolian Elementary,062289003499,Los Nietos,0622890,Whittier,90606,Whittier,90606,Yes under Community Eligibility Option (CEO),306,160,242
CA,AeroSTEM Academy,060172414234,AeroSTEM Academy District,0601724,Yuba City,95991,Yuba City,95991,Yes participating without using any Provision or the CEO,107,49,69
CA,Afflerbaugh-Paige Camp,069107812710,Los Angeles County Office of Education,0691078,La Verne,91750,Downey,90242,,45,42,42
AR,AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,050612001644,FAYETTEVILLE SCHOOL DISTRICT,0506120,FAYETTEVILLE,72701,FAYETTEVILLE,72701,Yes participating without using any Provision or the CEO,254,39,131
CA,Aggeler Community Day,062271011315,Los Angeles Unified,0622710,Chatsworth,91311,Chatsworth,91311,,19,9,16
CA,Agnes J. Johnson Charter,060254306363,Agnes J. Johnson Charter District,0602543,Weott,95571,Weott,95571,Yes participating without using any Provision or the CEO,89,52,61
CA,Agnes L. Smith Elementary,061803002224,Huntington Beach City Elementary,0618030,Huntington Beach,92648,Huntington Beach,92648,Yes participating without using any Provision or the CEO,576,166,250
CA,Agnes M. Baptist Elementary,063795009643,Stanislaus Union Elementary,0637950,Modesto,95356,Modesto,95356,Yes under Community Eligibility Option (CEO),636,264,416
CA,Agnes Ware Stanley Elementary,061488001882,Garden Grove Unified,0614880,Garden Grove,92840,Garden Grove,92840,Yes under Community Eligibility Option (CEO),342,156,278
CA,Agoura High,062100002518,Las Virgenes Unified,0621000,Agoura,91301,Agoura,91301,Yes participating without using any Provision or the CEO,1728,209,476
CA,Agua Caliente Elementary,062955004559,Palm Springs Unified,0629550,Cathedral City,92234,Cathedral City,92234,Yes under Community Eligibility Option (CEO),617,388,574
AZ,Agua Caliente School,040828001150,Tanque Verde Unified District (4408),0408280,TUCSON,85749,TUCSON,85749,Yes participating without using any Provision or the CEO,428,42,
AZ,Agua Fria High School,040045000001,Agua Fria Union High School District (4289),0400450,AVONDALE,85323,AVONDALE,85323,Yes participating without using any Provision or the CEO,1599,694,
AZ,Aguila Elementary School,040048000002,Aguila Elementary District (4249),0400480,Aguila,85320,AGUILA,85320,Yes participating without using any Provision or the CEO,128,78,
AZ,Aguila Pre-School,040048003445,Aguila Elementary District (4249),0400480,Aguila,85320,AGUILA,85320,No,18,,
AZ,Aguilar School,040831000763,Tempe School District (4258),0408310,TEMPE,85283,TEMPE,85283,Yes participating without using any Provision or the CEO,419,248,
AL,AH Watwood Elementary School,010318001209,Talladega County,0103180,Childersburg,35044,Childersburg,35044,Yes under Community Eligibility Option (CEO),284,225,236
AR,AHLF JUNIOR HIGH SCHOOL,051221000986,SEARCY SCHOOL DISTRICT,0512210,SEARCY,72143,SEARCY,72143,Yes participating without using any Provision or the CEO,618,82,291
CA,Ahwahnee High,060016007902,Yosemite Unified,0600160,Oakhurst,93644,Oakhurst,93644,Yes under Community Eligibility Option (CEO),21,17,18
CA,Ahwahnee Middle,061455001704,Fresno Unified,0614550,Fresno,93710,Fresno,93710,Yes under Community Eligibility Option (CEO),682,437,587
CA,Aileen Colburn Elementary,060342000256,Atwater Elementary,0603420,Atwater,95301,Atwater,95301,Yes under Community Eligibility Option (CEO),383,279,342
AZ,AIM Higher College Prep Academy,040093903495,Espiritu Schools (92902),0400939,PHOENIX,85040,PHOENIX,85040,Yes under Community Eligibility Option (CEO),41,27,
CA,AIMS College Prep High,060222711563,AIMS College Prep High District,0602227,Oakland,94607,Oakland,94607,Yes under Community Eligibility Option (CEO),368,203,274
CA,AIMS College Prep Middle,060147905673,AIMS College Prep Middle District,0601479,Oakland,94607,Oakland,94607,Yes under Community Eligibility Option (CEO),212,110,165
AK,Airport Heights Elementary,020018000054,Anchorage School District,0200180,Anchorage,99508,Anchorage,99508,Yes under Community Eligibility Option (CEO),272,136,283
AL,Airport Road Intermediate School,010129002147,Elmore County,0101290,Coosada,36020,Coosada,36020,Yes under Community Eligibility Option (CEO),548,366,415
AZ,Ajo Elementary School,040052000003,Ajo Unified District (4409),0400520,AJO,85321,AJO,85321,Yes under Provision 2,266,127,
AZ,Ajo High School,040052003063,Ajo Unified District (4409),0400520,AJO,85321,AJO,85321,Yes under Provision 2,134,50,
