st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
IL,Abbott Middle School,171371001664,SD U-46,1713710,Elgin,60123,Elgin,60123,Yes under Community Eligibility Option (CEO),560,,356
GA,Abbotts Hill Elementary School,130228002378,Fulton County,1302280,Duluth,30097,Duluth,30097,Yes participating without using any Provision or the CEO,559,22,95
IL,Abe Lincoln Elem School,171020001235,Cicero SD 99,1710200,Cicero,60804,Cicero,60804,Yes under Community Eligibility Option (CEO),715,,556
ID,ABERDEEN ELEMENTARY SCHOOL,160003000828,ABERDEEN DISTRICT,1600030,ABERDEEN,83210,ABERDEEN,83210,Yes under Provision 2,276,81,162
ID,ABERDEEN HIGH SCHOOL,160003000002,ABERDEEN DISTRICT,1600030,ABERDEEN,83210,ABERDEEN,83210,Yes under Provision 2,223,48,115
ID,ABERDEEN MIDDLE SCHOOL,160003000829,ABERDEEN DISTRICT,1600030,ABERDEEN,83210,ABERDEEN,83210,Yes under Provision 2,144,44,80
IL,Abingdon-Avon High Sch,170141306274,Abingdon-Avon CUSD 276,1701413,Abingdon,61410,Abingdon,61410,Yes under Community Eligibility Option (CEO),277,,132
IL,Abingdon-Avon Middle Sch,170141306247,Abingdon-Avon CUSD 276,1701413,Avon,61415,Avon,61415,Yes under Community Eligibility Option (CEO),193,,109
IL,ABLE Program,174396506889,Exc Children Have Opportunities,1743965,South Holland,60473,South Holland,60473,Yes under Community Eligibility Option (CEO),,,
IN,Aboite Elementary School,180003000001,MSD Southwest Allen County Schls,1800030,Fort Wayne,46814,Fort Wayne,46814,Yes participating without using any Provision or the CEO,475,123,98
IL,Abraham Lincoln Elem School,172925003060,Oak Park ESD 97,1729250,Oak Park,60304,Oak Park,60304,Yes participating without using any Provision or the CEO,576,,96
IL,Abraham Lincoln Elem School,170561000231,Belleville SD 118,1705610,Belleville,62226,Belleville,62226,Yes under Community Eligibility Option (CEO),520,,403
IL,Abraham Lincoln Elem School,171680001981,Glen Ellyn SD 41,1716800,Glen Ellyn,60137,Glen Ellyn,60137,No,548,,
IN,Abraham Lincoln Elementary School,180288000362,School City of East Chicago,1802880,East Chicago,46312,East Chicago,46312,Yes under Community Eligibility Option (CEO),287,278,209
IN,Abraham Lincoln Elementary School,180882001455,Perry Township Schools,1808820,Indianapolis,46217,Indianapolis,46217,Yes under Community Eligibility Option (CEO),630,598,502
IN,Abraham Lincoln Elementary School,180432000730,School City of Hammond,1804320,Hammond,46327,Hammond,46327,Yes under Community Eligibility Option (CEO),550,401,351
IL,Abraham Lincoln Middle School,173451003558,Rockford SD 205,1734510,Rockford,61104,Rockford,61104,Yes under Community Eligibility Option (CEO),705,,590
IL,Acad for Lifelong Learning,170002906337,Speed SEJA #802,1700029,Chicago Heights,60411,Chicago Heights,60411,Yes under Community Eligibility Option (CEO),,,
IL,Academic Behavior&Community Acad,170016206156,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,1700162,Quincy,62301,Quincy,62301,Yes under Community Eligibility Option (CEO),0,,
GA,Academy For Classical Education,130025204345,State Specialty Schools II- Academy For Classical Education,1300252,Macon,31210,Macon,31210,Yes participating without using any Provision or the CEO,1808,3,300
IL,Academy for Global Citizenship,170993006035,Chicago Public Schools Dist 299,1709930,Chicago,60632,Chicago,60632,Yes under Community Eligibility Option (CEO),478,,291
IN,Academy for Innovative Studies,180345002462,Evansville Vanderburgh School Corp,1803450,Evansville,47711,Evansville,47711,Yes under Community Eligibility Option (CEO),359,356,213
IL,Academy for Learning,174396506887,Exc Children Have Opportunities,1743965,Dolton,60419,Dolton,60419,Yes under Community Eligibility Option (CEO),,,
GA,Academy of Richmond County High School,130438001528,Richmond County,1304380,Augusta,30904,Augusta,30904,Yes under Community Eligibility Option (CEO),1175,408,688
IL,ACDC Penniman,170804006709,Cahokia CUSD 187,1708040,Cahokia,62206,Cahokia,62206,No,0,,
IL,ACE Amandla Charter School,170142606424,ACE Amandla Charter School,1701426,Chicago,60629,Chicago,60629,Yes under Community Eligibility Option (CEO),137,,126
IN,ACE Preparatory Academy,180017202604,ACE Preparatory Academy,1800172,Indianapolis,46220,Indianapolis,46220,Yes under Community Eligibility Option (CEO),117,110,91
ID,ACEQUIA ELEMENTARY SCHOOL,160219000380,MINIDOKA COUNTY JOINT DISTRICT,1602190,RUPERT,83350,RUPERT,83350,Yes participating without using any Provision or the CEO,282,26,49
IL,Acero Chtr  Roberto Clemente Elem,170993006524,Chicago Public Schools Dist 299,1709930,Chicago,60707,Chicago,60707,Yes under Community Eligibility Option (CEO),468,,393
IL,Acero Chtr  Sor Juana Ines de la,170993006508,Chicago Public Schools Dist 299,1709930,Chicago,60645,Chicago,60645,Yes under Community Eligibility Option (CEO),501,,466
IL,Acero Chtr - Bartolome de las,170993006448,Chicago Public Schools Dist 299,1709930,Chicago,60608,Chicago,60608,Yes under Community Eligibility Option (CEO),223,,206
IL,Acero Chtr - Carlos Fuentes Elem,170993006481,Chicago Public Schools Dist 299,1709930,Chicago,60618,Chicago,60618,Yes under Community Eligibility Option (CEO),391,,345
IL,Acero Chtr - Esmera Santiago Cmps,170993006521,Chicago Public Schools Dist 299,1709930,Chicago,60622,Chicago,60622,Yes under Community Eligibility Option (CEO),223,,201
IL,Acero Chtr - Octavio Paz Elem Sch,170993006482,Chicago Public Schools Dist 299,1709930,Chicago,60608,Chicago,60608,Yes under Community Eligibility Option (CEO),125,,121
IL,Acero Chtr - Officer Marquez Elem,170993006497,Chicago Public Schools Dist 299,1709930,Chicago,60632,Chicago,60632,Yes under Community Eligibility Option (CEO),517,,497
IL,Acero Chtr - Rufino Tamayo Elem,170993006455,Chicago Public Schools Dist 299,1709930,Chicago,60632,Chicago,60632,Yes under Community Eligibility Option (CEO),268,,248
IL,Acero Chtr - Sandra Cisneros Elem,170993006436,Chicago Public Schools Dist 299,1709930,Chicago,60632,Chicago,60632,Yes under Community Eligibility Option (CEO),345,,319
IL,Acero Chtr - SPC Zizumbo Elem,170993006444,Chicago Public Schools Dist 299,1709930,Chicago,60632,Chicago,60632,Yes under Community Eligibility Option (CEO),534,,442
IL,Acero Chtr Netrk -  Major Garcia,170993006467,Chicago Public Schools Dist 299,1709930,Chicago,60632,Chicago,60632,Yes under Community Eligibility Option (CEO),625,,557
IL,Acero Chtr Network - Jovita Idar,170993006505,Chicago Public Schools Dist 299,1709930,Chicago,60632,Chicago,60632,Yes under Community Eligibility Option (CEO),530,,482
IL,Acero Chtr Network - PFC Torress,170993006522,Chicago Public Schools Dist 299,1709930,Chicago,60632,Chicago,60632,Yes under Community Eligibility Option (CEO),540,,490
IL,Acero Chtr Sch Netwrk- Victoria,170993006483,Chicago Public Schools Dist 299,1709930,Chicago,60632,Chicago,60632,Yes under Community Eligibility Option (CEO),570,,542
IL,Acero Chtr-Brighton Park Elem Sch,170993006474,Chicago Public Schools Dist 299,1709930,Chicago,60632,Chicago,60632,Yes under Community Eligibility Option (CEO),475,,405
IL,ACHIEVE Program,170008406836,Black Hawk Area Sp Ed District,1700084,East Moline,61244,East Moline,61244,Yes under Community Eligibility Option (CEO),,,
IN,Achieve Virtual Education Academy,181281002516,MSD Wayne Township,1812810,Indianapolis,46214,Indianapolis,46214,No,631,,300
IL,ACTIONS Program,170942006352,Champaign CUSD 4,1709420,Champaign,61820,Champaign,61820,No,0,,
IN,Acton Elementary School,180375000595,Franklin Township Com Sch Corp,1803750,Indianapolis,46259,Indianapolis,46259,Yes participating without using any Provision or the CEO,538,262,256
GA,Acworth Intermediate School,130129000539,Cobb County,1301290,Acworth,30101,Acworth,30101,Yes participating without using any Provision or the CEO,505,110,383
ID,ADA COUNTY JUVENILE CENTER,160036000708,BOISE INDEPENDENT DISTRICT,1600360,BOISE,83704,BOISE,83704,No,9,,
ID,ADA PROFESSIONAL-TECHNICAL CENTER,160210000789,JOINT SCHOOL DISTRICT NO. 2,1602100,MERIDIAN,83642,MERIDIAN,83642,No,0,,
GA,Adairsville Elementary School,130033000185,Bartow County,1300330,Adairsville,30103,Adairsville,30103,Yes participating without using any Provision or the CEO,908,135,548
GA,Adairsville High School,130033002352,Bartow County,1300330,Adairsville,30103,Adairsville,30103,Yes participating without using any Provision or the CEO,1233,184,684
GA,Adairsville Middle School,130033002351,Bartow County,1300330,Adairsville,30103,Adairsville,30103,Yes participating without using any Provision or the CEO,842,168,487
IN,Adams Central Elementary School,180006000006,Adams Central Community Schools,1800060,Monroe,46772,Monroe,46772,Yes participating without using any Provision or the CEO,635,190,185
IN,Adams Central High School,180006000007,Adams Central Community Schools,1800060,Monroe,46772,Monroe,46772,Yes participating without using any Provision or the CEO,408,95,102
IN,Adams Central Middle School,180006000008,Adams Central Community Schools,1800060,Monroe,46772,Monroe,46772,Yes participating without using any Provision or the CEO,317,80,82
IL,Adams Co Juvenile Detention Cntr,173300005082,Quincy SD 172,1733000,Quincy,62305,Quincy,62305,No,0,,
IL,Adams County RSSP,170016206022,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,1700162,Quincy,62301,Quincy,62301,Yes under Community Eligibility Option (CEO),0,,
IL,Adams Elem School,172298002536,Lincoln ESD 27,1722980,Lincoln,62656,Lincoln,62656,Yes under Community Eligibility Option (CEO),52,,36
IN,Adams Elementary School,180363000511,Fort Wayne Community Schools,1803630,Fort Wayne,46803,Fort Wayne,46803,Yes under Community Eligibility Option (CEO),293,263,245
ID,ADAMS ELEMENTARY SCHOOL,160192000333,MADISON DISTRICT,1601920,REXBURG,83440,REXBURG,83440,Yes participating without using any Provision or the CEO,255,3,115
ID,ADAMS ELEMENTARY SCHOOL,160036000042,BOISE INDEPENDENT DISTRICT,1600360,BOISE,83712,BOISE,83712,Yes participating without using any Provision or the CEO,240,14,18
IN,Adams High School,181029001662,South Bend Community School Corp,1810290,South Bend,46615,South Bend,46615,Yes under Community Eligibility Option (CEO),1987,1358,1034
IL,Adams School,172460002662,Marion CUSD 2,1724600,Creal Springs,62922,Creal Springs,62922,Yes participating without using any Provision or the CEO,263,,118
GA,Adamson Middle School,130123000480,Clayton County,1301230,Rex,30273,Rex,30273,Yes under Community Eligibility Option (CEO),523,273,445
IL,Addams Elem School,170993000884,Chicago Public Schools Dist 299,1709930,Chicago,60617,Chicago,60617,Yes under Community Eligibility Option (CEO),533,,459
IL,Addison Early Learning Center,170315006390,Addison SD 4,1703150,Addison,60101,Addison,60101,Yes under Community Eligibility Option (CEO),196,,147
GA,Addison Elementary School,130129002022,Cobb County,1301290,Marietta,30066,Marietta,30066,Yes participating without using any Provision or the CEO,571,48,200
IL,Addison Trail High School,171394001737,DuPage HSD 88,1713940,Addison,60101,Addison,60101,Yes participating without using any Provision or the CEO,1904,,1273
IN,Adelaide De Vaney Elementary Sch,181209002172,Vigo County School Corp,1812090,Terre Haute,47803,Terre Haute,47803,Yes participating without using any Provision or the CEO,437,259,249
IL,Adlai E Stevenson High School,173258003385,Adlai E Stevenson HSD 125,1732580,Lincolnshire,60069,Lincolnshire,60069,No,4614,,
IL,Adlai Stevenson Elem School,173474003631,Schaumburg CCSD 54,1734740,Elk Grove Village,60007,Elk Grove Village,60007,No,496,,
IL,Adler Park School,172280005318,Libertyville SD 70,1722800,Libertyville,60048,Libertyville,60048,No,224,,
IL,Adm Richard E Byrd Elem School,171377001713,Comm Cons SD 59,1713770,Elk Grove Village,60007,Elk Grove Village,60007,Yes participating without using any Provision or the CEO,317,,256
HI,Admiral Arthur W Radford High School,150003000150,Hawaii Department of Education,1500030,Honolulu,96818,Honolulu,96818,Yes participating without using any Provision or the CEO,1231,87,301
HI,Admiral Chester W Nimitz Elementary School,150003000154,Hawaii Department of Education,1500030,Honolulu,96818,Honolulu,96818,Yes participating without using any Provision or the CEO,583,3,103
IL,Adolph Link Elem School,173474003632,Schaumburg CCSD 54,1734740,Elk Grove Village,60007,Elk Grove Village,60007,No,617,,
IL,Adult LIFE Academy,170002306578,Eastern IL Area of Spec Educ,1700023,Mattoon,61938,Mattoon,61938,Yes under Community Eligibility Option (CEO),,,
HI,Ahuimanu Elementary School,150003000157,Hawaii Department of Education,1500030,Kaneohe,96744,Kaneohe,96744,Yes participating without using any Provision or the CEO,276,55,87
HI,Aiea Elementary School,150003000178,Hawaii Department of Education,1500030,Aiea,96701,Aiea,96701,Yes under Community Eligibility Option (CEO),288,164,215
HI,Aiea High School,150003000177,Hawaii Department of Education,1500030,Aiea,96701,Aiea,96701,Yes participating without using any Provision or the CEO,891,199,449
HI,Aiea Intermediate School,150003000176,Hawaii Department of Education,1500030,Aiea,96701,Aiea,96701,Yes participating without using any Provision or the CEO,518,131,273
HI,Aikahi Elementary School,150003000101,Hawaii Department of Education,1500030,Kailua,96734,Kailua,96734,Yes participating without using any Provision or the CEO,483,26,68
HI,Aina Haina Elementary School,150003000227,Hawaii Department of Education,1500030,Honolulu,96821,Honolulu,96821,Yes participating without using any Provision or the CEO,369,31,59
IL,Air Force Acad High School,170993006055,Chicago Public Schools Dist 299,1709930,Chicago,60609,Chicago,60609,Yes under Community Eligibility Option (CEO),118,,100
IL,Akin Comm Cons Elem School,170321000014,Akin CCSD 91,1703210,Akin,62890,Akin,62890,Yes under Community Eligibility Option (CEO),112,,58
IN,Akron Elementary School,181137001836,Tippecanoe Valley School Corp,1811370,Akron,46910,Akron,46910,Yes participating without using any Provision or the CEO,357,189,210
HI,Ala Wai Elementary School,150003000226,Hawaii Department of Education,1500030,Honolulu,96826,Honolulu,96826,Yes under Community Eligibility Option (CEO),347,132,210
HI,Alaka'i O Kaua'i Charter School,150003000304,Hawaii Department of Education,1500030,Koloa,96756,Koloa,96746,No,221,24,62
ID,ALAMEDA MIDDLE SCHOOL,160264001047,POCATELLO DISTRICT,1602640,POCATELLO,83201,POCATELLO,83201,Yes participating without using any Provision or the CEO,600,121,262
IL,Alan B Shepard Elem School,170675000350,Bourbonnais SD 53,1706750,Bourbonnais,60914,Bourbonnais,60914,Yes participating without using any Provision or the CEO,477,,280
IL,Alan B Shepard Middle School,171198001437,Deerfield SD 109,1711980,Deerfield,60015,Deerfield,60015,No,462,,
IN,Albany Elementary School,180266000318,Delaware Community School Corp,1802660,Albany,47320,Albany,47320,Yes participating without using any Provision or the CEO,263,161,182
GA,Albany Middle School,130183000833,Dougherty County,1301830,Albany,31705,Albany,31705,Yes under Community Eligibility Option (CEO),819,463,819
IL,Albany Park Multicultural Elem,170993004962,Chicago Public Schools Dist 299,1709930,Chicago,60625,Chicago,60625,Yes under Community Eligibility Option (CEO),227,,215
IL,Albers Elem School,170327000015,Albers SD 63,1703270,Albers,62215,Albers,62215,Yes participating without using any Provision or the CEO,148,,25
IL,Albert Cassens Elementary,171353006020,Edwardsville CUSD 7,1713530,Glen Carbon,62034,Glen Carbon,62034,Yes participating without using any Provision or the CEO,478,,85
IL,Albert Einstein Elem School,173474003633,Schaumburg CCSD 54,1734740,Hanover Park,60133,Hanover Park,60133,No,448,,
ID,ALBION ELEMENTARY SCHOOL,160066000122,CASSIA COUNTY JOINT DISTRICT,1600660,ALBION,83311,ALBION,83311,Yes participating without using any Provision or the CEO,25,3,7
IL,Albion Grade School,171350001634,Edwards County CUSD 1,1713500,Albion,62806,Albion,62806,Yes participating without using any Provision or the CEO,406,,184
IL,Alcott College Prep,170993006072,Chicago Public Schools Dist 299,1709930,Chicago,60618,Chicago,60618,Yes under Community Eligibility Option (CEO),378,,289
IL,Alcott Elem School,170993000804,Chicago Public Schools Dist 299,1709930,Chicago,60614,Chicago,60614,Yes under Community Eligibility Option (CEO),575,,89
GA,Alcova Elementary School,130255003395,Gwinnett County,1302550,Dacula,30019,Dacula,30019,Yes participating without using any Provision or the CEO,1459,323,1047
GA,Alcovy High School,130393003436,Newton County,1303930,Covington,30014,Covington,30014,Yes participating without using any Provision or the CEO,2039,493,1341
IL,Alden Hebron Elem School,170330004512,Alden Hebron SD 19,1703300,Hebron,60034,Hebron,60034,Yes participating without using any Provision or the CEO,233,,92
IL,Alden-Hebron High School,170330000017,Alden Hebron SD 19,1703300,Hebron,60034,Hebron,60034,Yes participating without using any Provision or the CEO,108,,44
IL,Alden-Hebron Middle School,170330000016,Alden Hebron SD 19,1703300,Hebron,60034,Hebron,60034,Yes participating without using any Provision or the CEO,75,,28
IL,Aldridge Elem School,170993001168,Chicago Public Schools Dist 299,1709930,Chicago,60827,Chicago,60827,Yes under Community Eligibility Option (CEO),250,,236
IL,Alex M Martino Jr High School,172814002970,New Lenox SD 122,1728140,New Lenox,60451,New Lenox,60451,Yes participating without using any Provision or the CEO,565,,70
IN,Alexander Hamilton Elementary Sch,180291000376,Lake Station Community Schools,1802910,Lake Station,46405,Lake Station,46405,Yes under Community Eligibility Option (CEO),227,198,176
GA,Alexander High School,130186001976,Douglas County,1301860,Douglasville,30135,Douglasville,30135,Yes participating without using any Provision or the CEO,1844,333,1033
GA,Alexander II Magnet School,130042000198,Bibb County,1300420,Macon,31201,Macon,31201,Yes under Community Eligibility Option (CEO),479,154,208
IN,Alexandria Monroe Academy and Central Office,180012000009,Alexandria Community School Corp,1800120,Alexandria,46001,Alexandria,46001,Yes participating without using any Provision or the CEO,0,,
IN,Alexandria Monroe Elementary School,180012000010,Alexandria Community School Corp,1800120,Alexandria,46001,Alexandria,46001,Yes participating without using any Provision or the CEO,715,471,379
IN,Alexandria-Monroe High School,180012000011,Alexandria Community School Corp,1800120,Alexandria,46001,Alexandria,46001,Yes participating without using any Provision or the CEO,690,399,374
GA,Alford Elementary,130255002904,Gwinnett County,1302550,Lawrenceville,30044,Lawrenceville,30044,Yes participating without using any Provision or the CEO,822,200,700
IL,Algonquin Lakes Elem Sch,170855004800,CUSD 300,1708550,Algonquin,60102,Algonquin,60102,Yes participating without using any Provision or the CEO,395,,203
IL,Algonquin Middle School,171212001460,CCSD 62,1712120,Des Plaines,60016,Des Plaines,60016,Yes participating without using any Provision or the CEO,559,,284
IL,Algonquin Middle School,170855000477,CUSD 300,1708550,Algonquin,60102,Algonquin,60102,Yes participating without using any Provision or the CEO,396,,209
IL,Algonquin Primary Center,173081006355,Park Forest SD 163,1730810,Park Forest,60466,Park Forest,60466,Yes under Community Eligibility Option (CEO),128,,110
IL,Algonquin Road Elem School,171566001878,Fox River Grove Cons SD 3,1715660,Fox River Grove,60021,Fox River Grove,60021,Yes participating without using any Provision or the CEO,244,,66
IL,Alhambra Primary School,171899002176,Highland CUSD 5,1718990,Alhambra,62001,Alhambra,62001,Yes participating without using any Provision or the CEO,175,,45
HI,Aliamanu Elementary School,150003000175,Hawaii Department of Education,1500030,Honolulu,96818,Honolulu,96818,Yes participating without using any Provision or the CEO,643,71,196
HI,Aliamanu Middle School,150003000174,Hawaii Department of Education,1500030,Honolulu,96818,Honolulu,96818,Yes participating without using any Provision or the CEO,777,61,239
GA,Alice Coachman Elementary School,130183002315,Dougherty County,1301830,Albany,31707,Albany,31707,Yes under Community Eligibility Option (CEO),447,268,447
IL,Alice Gustafson Elem School,170522000200,Batavia USD 101,1705220,Batavia,60510,Batavia,60510,Yes participating without using any Provision or the CEO,390,,70
HI,Aliiolani Elementary School,150003000225,Hawaii Department of Education,1500030,Honolulu,96816,Honolulu,96816,Yes participating without using any Provision or the CEO,228,52,109
GA,Allatoona Elementary School,130033001078,Bartow County,1300330,Acworth,30102,Acworth,30101,Yes participating without using any Provision or the CEO,415,121,340
GA,Allatoona High School,130129003781,Cobb County,1301290,Acworth,30101,Acworth,30101,Yes participating without using any Provision or the CEO,1642,84,498
IN,Allegiant Preparatory Academy,180019902648,Allegiant Preparatory Academy,1800199,Indianapolis,46222,Indianapolis,46222,Yes under Community Eligibility Option (CEO),154,143,139
IN,Allen Co Juvenile Center,180363002174,Fort Wayne Community Schools,1803630,Fort Wayne,46808,Fort Wayne,46808,Yes participating without using any Provision or the CEO,24,,3
IN,Allen Co Youth Services Center,180825002160,Northwest Allen County Schools,1808250,Fort Wayne,46818,Fort Wayne,46818,Yes participating without using any Provision or the CEO,0,,
GA,Allen Elementary School,130387001446,Muscogee County,1303870,Columbus,31904,Columbus,31904,Yes under Community Eligibility Option (CEO),446,133,446
IN,Allen Elementary School,180639001107,Marion Community Schools,1806390,Marion,46952,Marion,46952,Yes under Community Eligibility Option (CEO),405,366,328
IN,Allen J Warren Elementary School,180456000762,School Town of Highland,1804560,Highland,46322,Highland,46322,Yes participating without using any Provision or the CEO,283,139,147
IL,Allen School School,172168002435,La Moille CUSD 303,1721680,La Moille,61330,La Moille,61330,Yes participating without using any Provision or the CEO,87,,39
IL,Allendale Elementary School,170345004514,Allendale CCSD 17,1703450,Allendale,62410,Allendale,62410,Yes under Community Eligibility Option (CEO),137,,77
IL,Allendale School,170387005136,CHSD 117,1703870,Lake Villa,60046,Lake Villa,60046,No,0,,
GA,Allgood Elementary School,130174000667,DeKalb County,1301740,Stone Mountain,30083,Stone Mountain,30083,Yes under Community Eligibility Option (CEO),591,264,591
GA,Allgood Elementary School,130402002275,Paulding County,1304020,Dallas,30157,Dallas,30157,Yes participating without using any Provision or the CEO,836,217,635
GA,Alliance Academy for Innovation,130222004320,Forsyth County,1302220,Cumming,30040,Cumming,30040,Yes participating without using any Provision or the CEO,1116,15,131
IN,Allisonville Elementary School,181272002010,MSD Washington Township,1812720,Indianapolis,46250,Indianapolis,46250,Yes participating without using any Provision or the CEO,688,337,199
IL,ALOP,170019106783,Kane ROE,1700191,Burlington,60109,Burlington,60109,No,0,,
IL,ALOP Academic Learning Program,170022106212,Region 06 West Cook ISC 2,1700221,Maywood,60153,Maywood,60153,No,0,,
GA,Alpharetta Elementary School,130228000974,Fulton County,1302280,Alpharetta,30009,Alpharetta,30009,Yes participating without using any Provision or the CEO,519,24,115
GA,Alpharetta High School,130228003364,Fulton County,1302280,Alpharetta,30005,Alpharetta,30005,Yes participating without using any Provision or the CEO,2084,80,343
ID,ALPINE ACADEMY,160001401186,THE ACADEMY INC.,1600014,CHUBBUCK,83202,CHUBBUCK,83202,No,252,,
IL,ALSP -  Raymond Benson Primary -,170015206897,North DuPage Sp Ed Cooperative,1700152,Roselle,60172,Roselle,60172,No,,,
IL,ALSP-Blackhawk MS-Bensenville SD,170015206765,North DuPage Sp Ed Cooperative,1700152,Bensenville,60106,Bensenville,60106,No,,,
IL,ALSP-DuJardin Elem Sch-Bloomingda,170015206752,North DuPage Sp Ed Cooperative,1700152,Bloomingdale,60108,Bloomingdale,60108,No,,,
IL,ALSP-F.E. Peacock MS-Itasca SD 10,170015206744,North DuPage Sp Ed Cooperative,1700152,Itasca,60143,Itasca,60143,No,,,
IL,ALSP-Fenton CHS-Fenton HSD 100,170015206739,North DuPage Sp Ed Cooperative,1700152,Bensenville,60106,Bensenville,60106,No,,,
IL,ALSP-Lake Park East HS-Lake Park,170015206712,North DuPage Sp Ed Cooperative,1700152,Roselle,60172,Roselle,60172,No,,,
IL,ALSP-Medinah Inter Sch-Medinah SD,170015206704,North DuPage Sp Ed Cooperative,1700152,Medinah,60157,Medinah,60157,No,,,
IL,ALSP-Westfield MS-Bloomingdale SD,170015206761,North DuPage Sp Ed Cooperative,1700152,Bloomingdale,60108,Bloomingdale,60108,No,,,
GA,Altama Elementary School,130240001061,Glynn County,1302400,Brunswick,31525,Brunswick,31525,Yes participating without using any Provision or the CEO,593,297,555
GA,Altamaha Elementary School,130006000011,Appling County,1300060,Baxley,31513,Baxley,31513,Yes under Community Eligibility Option (CEO),389,123,246
IL,Altamont Grade School,170351000033,Altamont CUSD 10,1703510,Altamont,62411,Altamont,62411,Yes under Community Eligibility Option (CEO),470,,304
IL,Altamont High School,170351000034,Altamont CUSD 10,1703510,Altamont,62411,Altamont,62411,Yes under Community Eligibility Option (CEO),219,,103
GA,Alto Park Elementary School,130219000949,Floyd County,1302190,Rome,30165,Rome,30165,Yes participating without using any Provision or the CEO,430,120,352
IL,Alton High School,170360000035,Alton CUSD 11,1703600,Alton,62002,Alton,62002,Yes under Community Eligibility Option (CEO),1909,,911
IL,Alton Middle School,170360005841,Alton CUSD 11,1703600,Alton,62002,Alton,62002,Yes under Community Eligibility Option (CEO),1219,,645
