st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
VA,Abb's Valley-Boissevain Elementary,510381001645,Tazewell County Public Schools,5103810,Bluefield,24605,Boissevain,24606,Yes under Community Eligibility Option (CEO),155,135,135
WI,Abbotsford Elementary,550003000001,Abbotsford School District,5500030,Abbotsford,54405,Abbotsford,54405,Yes under Community Eligibility Option (CEO),406,,305
WI,Abbotsford Middle/Senior High,550003000002,Abbotsford School District,5500030,Abbotsford,54405,Abbotsford,54405,Yes under Community Eligibility Option (CEO),401,,277
VA,Aberdeen Elementary,510180000726,Hampton City Public Schools,5101800,Hampton,23666,Hampton,23666,Yes under Community Eligibility Option (CEO),452,413,413
VA,Abingdon Elementary,510162000677,Gloucester County Public Schools,5101620,Hayes,23072,Hayes,23072,Yes under Community Eligibility Option (CEO),437,321,321
VA,Abingdon Elementary,510390001735,Washington County Public Schools,5103900,Abingdon,24210,Abingdon,24210,Yes under Community Eligibility Option (CEO),410,316,316
VA,Abingdon Elementary,510027000081,Arlington County Public Schools,5100270,Arlington,22206,Arlington,22206,Yes under Community Eligibility Option (CEO),717,512,512
VA,Abingdon High,510390001736,Washington County Public Schools,5103900,Abingdon,24210,Abingdon,24210,Yes under Community Eligibility Option (CEO),877,642,642
WA,Abraham Lincoln Elementary,530966001632,Wenatchee School District,5309660,WENATCHEE,98801,WENATCHEE,98801,Yes under Community Eligibility Option (CEO),455,279,385
WI,Abraham Lincoln Elementary,550984002771,Monroe School District,5509840,Monroe,53566,Monroe,53566,Yes participating without using any Provision or the CEO,297,,132
WI,Abrams Elementary,551095001431,Oconto Falls Public School District,5510950,Abrams,54101,Abrams,54101,Yes participating without using any Provision or the CEO,275,,71
VA,Academies of Loudoun,510225003075,Loudoun County Public Schools,5102250,Leesburg,20175,Leesburg,20175,No,,,
VA,Academy 360,510084002983,Chesterfield County Public Schools,5100840,Midlothian,23112,Midlothian,23112,No,,,
VA,Academy at Virginia Randolph,510189000805,Henrico County Public Schools,5101890,Glen Allen,23060,Glen Allen,23060,Yes under Community Eligibility Option (CEO),,,
VA,Academy for Discovery at Lakewood,510267003018,Norfolk City Public Schools,5102670,Norfolk,23509,Norfolk,23509,Yes under Community Eligibility Option (CEO),730,727,732
WI,Academy of Accelerated Learning,550960001239,Milwaukee School District,5509600,Milwaukee,53220,Milwaukee,53220,Yes under Community Eligibility Option (CEO),538,,407
WV,Academy Of Careers And Technology,540123000977,RALEIGH COUNTY SCHOOLS,5401230,Beckley,25801,Beckley,25801,No,,,
VA,Academy of Technology and Innovation at the University of Ma,510415203140,Academy of Technology and Innovation at UMW,5104152,Fredericksburg,22406,Fredericksburg,22406,,,,
VT,Academy School,500043100079,Windham Southeast Unified Union School District #96,5000431,Brattleboro,05301,Brattleboro,05301,Yes under Community Eligibility Option (CEO),407,,236
VA,Accawmacke Elementary,510006001737,Accomack County Public Schools,5100060,Accomac,23301,Accomac,23301,Yes under Community Eligibility Option (CEO),426,423,486
WI,Accelerated Advanced Learning Program,551119003364,Oshkosh Area School District,5511190,Oshkosh,54902,Oshkosh,54902,Yes under Community Eligibility Option (CEO),59,,3
WA,Acceleration Academy,530048003466,Bethel School District,5300480,Spanaway,98387,Spanaway,98387,Yes under Community Eligibility Option (CEO),405,248,253
WI,ACE Alliance Charter Elementary,551032003366,Neenah Joint School District,5510320,Neenah,54956,Neenah,54956,Yes participating without using any Provision or the CEO,186,,28
WA,ACES High School,530543002063,Mukilteo School District,5305430,Everett,98204,Everett,98204,Yes under Community Eligibility Option (CEO),178,115,128
VA,Achievable Dream Academy,510264002343,Newport News City Public Schools,5102640,Newport News,23607,Newport News,23607,Yes under Community Eligibility Option (CEO),621,609,609
VA,Achievable Dream Middle/High,510264002344,Newport News City Public Schools,5102640,Newport News,23605,Newport News,23605,Yes under Community Eligibility Option (CEO),486,471,471
VA,Achievement Integrity And Maturity Bryant,510126002674,Fairfax County Public Schools,5101260,Alexandria,22306,Alexandria,22306,No,,,
VA,Achievement Integrity and Maturity Mountain View,510126003109,Fairfax County Public Schools,5101260,Centerville,20121,Centerville,20121,No,,,
VA,Achilles Elementary,510162000678,Gloucester County Public Schools,5101620,Hayes,23072,Hayes,23072,Yes under Community Eligibility Option (CEO),434,282,282
WA,Acme Elementary,530531000799,Mount Baker School District,5305310,ACME,98220,ACME,98220,Yes under Community Eligibility Option (CEO),187,86,99
VA,Acquinton Elementary,510212002151,King William County Public Schools,5102120,King William,23086,King William,23086,Yes participating without using any Provision or the CEO,450,181,195
VA,ACTIV8 Academy,510111003135,Danville City Public Schools,5101110,Danville,24540,Danville,24540,No,,,
WA,Adams Elementary,530825001361,Spokane School District,5308250,Spokane,99223,Spokane,99223,Yes under Community Eligibility Option (CEO),303,189,221
WA,Adams Elementary,530111000187,Central Valley School District,5301110,Spokane Valley,99037,Spokane Valley,99037,Yes under Community Eligibility Option (CEO),373,167,225
WA,Adams Elementary,530948002611,Wapato School District,5309480,Wapato,98951,Wapato,98951,Yes under Community Eligibility Option (CEO),387,321,364
WI,Adams Elementary,550702000756,Janesville School District,5507020,Janesville,53545,Janesville,53545,Yes under Community Eligibility Option (CEO),295,,228
WA,Adams Elementary School,531011001685,Yakima School District,5310110,Yakima,98901,Yakima,98901,Yes under Community Eligibility Option (CEO),612,534,585
WA,Adams Elementary School,530771001127,Seattle School District No. 1,5307710,SEATTLE,98107,SEATTLE,98107,Yes participating without using any Provision or the CEO,302,36,43
WI,Adams-Friendship Elementary,550006001433,Adams-Friendship Area School District,5500060,Adams,53910,Friendship,53934,Yes under Community Eligibility Option (CEO),486,,215
WI,Adams-Friendship High,550006000005,Adams-Friendship Area School District,5500060,Adams,53910,Adams,53910,Yes under Community Eligibility Option (CEO),434,,243
WI,Adams-Friendship Middle,550006001454,Adams-Friendship Area School District,5500060,Adams,53910,Friendship,53934,Yes under Community Eligibility Option (CEO),366,,240
VA,Addison Aerospace Magnet Middle,510330001412,Roanoke City Public Schools,5103300,Roanoke,24016,Roanoke,24016,Yes under Community Eligibility Option (CEO),483,460,460
WI,Addison Elementary,551395002540,Slinger School District,5513950,Hartford,53027,Hartford,53027,Yes participating without using any Provision or the CEO,428,,66
WA,Adelaide Elementary School,530282000430,Federal Way School District,5302820,Federal Way,98023,Federal Way,98023,Yes under Community Eligibility Option (CEO),319,181,247
WI,Adeline Montessori School Inc,550008903150,Adeline Montessori School Inc,5500089,Oconomowoc,53066,Oconomowoc,53066,Yes under Community Eligibility Option (CEO),137,,3
VA,Admiral Richard E. Byrd Middle,510147002437,Frederick County Public Schools,5101470,Winchester,22602,Winchester,22602,Yes participating without using any Provision or the CEO,808,255,278
WA,Adna Elementary School,530006000012,Adna School District,5300060,Chehalis,98532,Adna,98522,Yes participating without using any Provision or the CEO,258,64,81
WA,Adna Middle/High School,530006000013,Adna School District,5300060,Chehalis,98532,Adna,98522,Yes participating without using any Provision or the CEO,378,89,106
VA,Adult & Career Education Center,510111002467,Danville City Public Schools,5101110,Danville,24541,Danville,24541,No,,,
VA,Adult Education Center,510189000537,Henrico County Public Schools,5101890,Highland Springs,23075,Highland Springs,23075,No,,,
VA,Adult Learning Ctr.,510384000684,Virginia Beach City Public Schools,5103840,Virginia Beach,23462,Virginia Beach,23462,No,,,
VA,Advanced Career Education Center at Hermitage,510189000807,Henrico County Public Schools,5101890,Richmond,23228,Richmond,23228,No,,,
VA,Advanced Career Education Center at Highland Springs,510189000810,Henrico County Public Schools,5101890,Highland Springs,23075,Highland Springs,23075,No,,,
WI,Advanced Learning Academy of Wisconsin,550087002864,Barron Area School District,5500870,Barron,54812,Barron,54812,Yes participating without using any Provision or the CEO,30,,17
VA,Advanced Technology Center,510384002430,Virginia Beach City Public Schools,5103840,Virginia Beach,23453,Virginia Beach,23453,No,,,
WY,Afflerbach Elementary,560198000480,Laramie County School District #1,5601980,Cheyenne,82007,Cheyenne,82007,Yes participating without using any Provision or the CEO,343,145,195
WY,Afton Elementary,560406000204,Lincoln County School District #2,5604060,Afton,83110,Afton,83110,Yes participating without using any Provision or the CEO,398,59,124
VA,Agnor-Hurt Elementary,510009000002,Albemarle County Public Schools,5100090,Charlottesville,22901,Charlottesville,22901,Yes under Community Eligibility Option (CEO),474,344,344
WA,Ahtanum Valley Elementary,530972001649,West Valley School District (Yakima),5309720,Yakima,98908,Yakima,98908,Yes under Community Eligibility Option (CEO),377,193,255
WA,AIM High School,530802002068,Snohomish School District,5308020,Snohomish,98290,Snohomish,98290,No,161,61,63
WA,Aki Kurose Middle School,530771001249,Seattle School District No. 1,5307710,Seattle,98118,Seattle,98118,Yes under Community Eligibility Option (CEO),783,400,481
WI,Al Behrman Elementary,550081000109,Baraboo School District,5500810,Baraboo,53913,Baraboo,53913,Yes under Community Eligibility Option (CEO),282,,205
WA,Alan T. Sugiyama High School,530771001234,Seattle School District No. 1,5307710,SEATTLE,98118,SEATTLE,98118,Yes under Community Eligibility Option (CEO),46,34,35
VA,Alanton Elementary,510384001671,Virginia Beach City Public Schools,5103840,Virginia Beach,23454,Virginia Beach,23454,Yes under Community Eligibility Option (CEO),627,401,401
WI,ALBA - Academia de Lenguaje y Bellas Artes,550960003371,Milwaukee School District,5509600,Milwaukee,53215,Milwaukee,53215,Yes under Community Eligibility Option (CEO),620,,551
WV,Alban Elementary School,540060000353,KANAWHA COUNTY SCHOOLS,5400600,Saint Albans,25177,Saint Albans,25177,Yes under Community Eligibility Option (CEO),261,183,
WI,Albany Community Middle,550012002357,Albany School District,5500120,Albany,53502,Albany,53502,Yes participating without using any Provision or the CEO,58,,3
VT,Albany Community School,500043600420,Lake Region Union Elementary Middle School District,5000436,Albany,05820,Albany,05820,Yes under Community Eligibility Option (CEO),172,,112
WI,Albany Elementary,550012000013,Albany School District,5500120,Albany,53502,Albany,53502,Yes participating without using any Provision or the CEO,151,,3
WI,Albany High,550012000014,Albany School District,5500120,Albany,53502,Albany,53502,Yes participating without using any Provision or the CEO,85,,3
VA,Albemarle High,510009000015,Albemarle County Public Schools,5100090,Charlottesville,22901,Charlottesville,22901,Yes participating without using any Provision or the CEO,2005,640,693
VT,Albert Bridge School (West Windsor),500044200371,Mount Ascutney School District #86,5000442,Brownsville,05037,Brownsville,05037,Yes under Provision 2,71,,14
VT,Albert D. Lawton School,500039500115,Essex Westford Educational Community Unified Union SD #51,5000395,Essex Junction,05452,Essex Junction,05452,Yes under Provision 2,326,,108
WA,Albert Einstein Elementary,530423002648,Lake Washington School District,5304230,Redmond,98052,Redmond,98052,Yes participating without using any Provision or the CEO,481,63,86
WA,Albert Einstein Middle School,530792001297,Shoreline School District,5307920,Shoreline,98177,Shoreline,98177,Yes participating without using any Provision or the CEO,994,238,298
VA,Albert Harris Elementary,510240002616,Martinsville City Public Schools,5102400,Martinsville,24112,Martinsville,24112,Yes under Community Eligibility Option (CEO),402,399,408
VA,Albert Hill Middle,510324001351,Richmond City Public Schools,5103240,Richmond,23221,Richmond,23221,Yes under Community Eligibility Option (CEO),494,491,494
VA,Albert W. Patrick III Elementary,510180000732,Hampton City Public Schools,5101800,Hampton,23669,Hampton,23669,Yes under Community Eligibility Option (CEO),385,356,356
VA,Alberta Smith Elementary,510084000462,Chesterfield County Public Schools,5100840,Midlothian,23112,Midlothian,23112,Yes participating without using any Provision or the CEO,675,212,227
WY,Albin Elementary,560412000208,Laramie County School District #2,5604120,Albin,82050,Albin,82050,Yes participating without using any Provision or the CEO,39,8,24
VT,Alburgh Community Education Center,500177000004,Alburgh School District,5001770,Alburgh,05440,Alburgh,05440,Yes under Community Eligibility Option (CEO),183,,122
VA,ALC at Bryant,510126001103,Fairfax County Public Schools,5101260,Alexandria,22306,Alexandria,22306,No,,,
VA,ALC at Burke,510126002862,Fairfax County Public Schools,5101260,Burke,20115,Burke,20115,No,,,
VA,ALC at Montrose,510126002790,Fairfax County Public Schools,5101260,Alexandria,22312,Alexandria,22312,No,,,
VA,ALC at Mountain View,510126001106,Fairfax County Public Schools,5101260,Centreville,20121,Centreville,20121,No,,,
WI,Alcott Elementary,550960001121,Milwaukee School District,5509600,Milwaukee,53228,Milwaukee,53228,Yes under Community Eligibility Option (CEO),268,,202
WV,Alderson Elementary,540039000224,GREENBRIER COUNTY SCHOOLS,5400390,Alderson,24910,Alderson,24910,Yes under Community Eligibility Option (CEO),199,141,
WA,Alderwood Elementary School,530042000098,Bellingham School District,5300420,Bellingham,98225,Bellingham,98225,Yes under Community Eligibility Option (CEO),282,177,204
WA,Alderwood Middle School,530240000329,Edmonds School District,5302400,LYNNWOOD,98037,LYNNWOOD,98037,Yes participating without using any Provision or the CEO,680,300,386
VA,Aldie Elementary,510225000908,Loudoun County Public Schools,5102250,Aldie,20105,Aldie,20105,Yes participating without using any Provision or the CEO,94,15,18
WI,Aldo Leopold Community School K-8,550582000610,Green Bay Area Public School District,5505820,Green Bay,54301,Green Bay,54301,Yes participating without using any Provision or the CEO,549,,209
WI,Aldrich Intermediate,550105000137,Beloit School District,5501050,Beloit,53511,Beloit,53511,Yes under Community Eligibility Option (CEO),502,,362
VA,Aldrin Elementary,510126000767,Fairfax County Public Schools,5101260,Reston,20194,Reston,20194,Yes participating without using any Provision or the CEO,449,102,109
WA,Alexander Graham Bell Elementary,530423000656,Lake Washington School District,5304230,Kirkland,98033,Kirkland,98033,Yes participating without using any Provision or the CEO,520,89,133
WI,Alexander Middle,551038001358,Nekoosa School District,5510380,Nekoosa,54457,Nekoosa,54457,Yes participating without using any Provision or the CEO,333,,190
VA,Alexandria City High School,510012000054,Alexandria City Public Schools,5100120,Alexandria,22302,Alexandria,22302,Yes participating without using any Provision or the CEO,4551,1930,2121
WA,Alfaretta House,530141002839,Clover Park School District,5301410,Lakewood,98498,Lakewood,98498,No,21,7,13
VA,Alfred S. Forrest Elementary,510180000727,Hampton City Public Schools,5101800,Hampton,23666,Hampton,23666,Yes under Community Eligibility Option (CEO),532,464,464
WI,Algoma Elementary,550015000015,Algoma School District,5500150,Algoma,54201,Algoma,54201,Yes participating without using any Provision or the CEO,319,,167
WI,Algoma High,550015000016,Algoma School District,5500150,Algoma,54201,Algoma,54201,Yes participating without using any Provision or the CEO,280,,132
WI,Algoma Venture Academy,550015003149,Algoma School District,5500150,Algoma,54201,Algoma,54201,Yes participating without using any Provision or the CEO,41,,19
VA,Algonkian Elementary,510225002153,Loudoun County Public Schools,5102250,Sterling,20165,Sterling,20165,Yes participating without using any Provision or the CEO,446,86,92
VA,Alice West Fleet Elementary,510027000094,Arlington County Public Schools,5100270,Arlington,22204,Arlington,22204,Yes participating without using any Provision or the CEO,593,213,240
WA,Alki Elementary School,530771001129,Seattle School District No. 1,5307710,SEATTLE,98116,SEATTLE,98116,Yes participating without using any Provision or the CEO,270,32,37
WA,Alki Middle School,530927000578,Vancouver School District,5309270,VANCOUVER,98685,VANCOUVER,98685,Yes under Community Eligibility Option (CEO),602,149,181
WI,All District 4 Year Old Kindergarten,551236002657,Racine Unified School District,5512360,Racine,53403,Racine,53403,No,136,,92
VA,Alleghany High,510015201883,Alleghany Highlands Public Schools,5100152,Covington,24426,Covington,24426,Yes under Community Eligibility Option (CEO),831,684,684
WA,Allen Creek Elementary School,530486001191,Marysville School District,5304860,Marysville,98270,Marysville,98270,Yes under Community Eligibility Option (CEO),467,219,238
WA,Allen Elementary,530078000154,Burlington-Edison School District,5300780,BOW,98232,BOW,98232,Yes under Community Eligibility Option (CEO),393,283,327
WI,Allen-Field Elementary,550960001122,Milwaukee School District,5509600,Milwaukee,53204,Milwaukee,53204,Yes under Community Eligibility Option (CEO),474,,428
WI,Allenton Elementary,551395001818,Slinger School District,5513950,Allenton,53002,Allenton,53002,Yes participating without using any Provision or the CEO,448,,80
WI,Alliance School of Milwaukee,550960002603,Milwaukee School District,5509600,Milwaukee,53205,Milwaukee,53205,Yes under Community Eligibility Option (CEO),155,,134
WI,Alma Elementary,550018000017,Alma School District,5500180,Alma,54610,Alma,54610,Yes participating without using any Provision or the CEO,176,,70
WI,Alma High,550018000018,Alma School District,5500180,Alma,54610,Alma,54610,Yes participating without using any Provision or the CEO,69,,29
WA,Almira Coulee Hartline High School,530344000514,Coulee-Hartline School District,5303440,Coulee City,99115,Coulee City,99115,Yes participating without using any Provision or the CEO,94,37,42
WA,Almira Elementary School,530009000179,Almira School District,5300090,ALMIRA,99103,ALMIRA,99103,Yes participating without using any Provision or the CEO,133,48,55
WI,Almond-Bancroft Elementary,550024000023,Almond-Bancroft School District,5500240,Almond,54909,Almond,54909,Yes participating without using any Provision or the CEO,171,,85
WI,Almond-Bancroft High,550024000024,Almond-Bancroft School District,5500240,Almond,54909,Almond,54909,Yes participating without using any Provision or the CEO,108,,45
WI,Almond-Bancroft Middle,550024003076,Almond-Bancroft School District,5500240,Almond,54909,Almond,54909,Yes participating without using any Provision or the CEO,74,,33
WA,Alpac Elementary School,530030000029,Auburn School District,5300300,PACIFIC,98047,PACIFIC,98047,Yes under Community Eligibility Option (CEO),609,384,404
WA,Alpine Lakes Elementary,530095001934,Cascade School District,5300950,Leavenworth,98826,Leavenworth,98826,Yes participating without using any Provision or the CEO,243,104,130
WY,Alta Elementary,560583000337,Teton County School District #1,5605830,Alta,83414,Alta,83414,Yes participating without using any Provision or the CEO,38,3,3
WY,Alta Vista Elementary,560198000096,Laramie County School District #1,5601980,Cheyenne,82001,Cheyenne,82001,Yes participating without using any Provision or the CEO,235,70,97
VA,Altavista Elementary,510060000219,Campbell County Public Schools,5100600,Altavista,24517,Altavista,24517,Yes under Community Eligibility Option (CEO),521,407,407
VA,Altavista High,510060000220,Campbell County Public Schools,5100600,Altavista,24517,Altavista,24517,Yes under Community Eligibility Option (CEO),634,464,464
VA,Altern Ed Prgm/Behav Disord Youth/Montgomery,510007802353,Alt Ed Prgm/Behav Disord Youth/Montgomery,5100078,Christiansburg,24073,Christiansburg,24073,No,,,
VA,Alternative Education Center,510132002186,Fauquier County Public Schools,5101320,Midland,22728,Midland,22728,Yes under Community Eligibility Option (CEO),,,
VA,Alternative Education Center,510171002439,Greene County Public Schools,5101710,Stanardsville,22973,Stanardsville,22973,No,,,
WA,Alternative Educational Experience,530502002807,Methow Valley School District,5305020,Winthrop,98862,Winthrop,98862,No,28,13,13
VA,Alternative Learning Center,510180003048,Hampton City Public Schools,5101800,Hampton,23669,Hampton,23669,Yes under Community Eligibility Option (CEO),,,
WA,Alternative Northeast Community Center Preschool,530825002362,Spokane School District,5308250,Spokane,99207,Spokane,99207,No,15,12,12
VA,Alternative Secondary Transition Educational Program,510333003080,Roanoke County Public Schools,5103330,Roanoke,24019,Roanoke,24019,No,,,
WA,Alternative Spcl Needs Div Occ,530870003051,Tacoma School District,5308700,TACOMA,98405,TACOMA,98405,No,0,,
WA,Alternative Tamarack School,530825000074,Spokane School District,5308250,Spokane,99224,Spokane,99224,No,6,,
WV,Altizer Elementary School,540018000088,CABELL COUNTY SCHOOLS,5400180,Huntington,25705,Huntington,25705,Yes under Community Eligibility Option (CEO),210,153,
WI,Altoona Elementary,550027000028,Altoona School District,5500270,Altoona,54720,Altoona,54720,Yes participating without using any Provision or the CEO,597,,216
WI,Altoona High,550027000026,Altoona School District,5500270,Altoona,54720,Altoona,54720,Yes participating without using any Provision or the CEO,580,,224
WI,Altoona Intermediate,550027002925,Altoona School District,5500270,Altoona,54720,Altoona,54720,Yes participating without using any Provision or the CEO,261,,108
WI,Altoona Middle,550027000027,Altoona School District,5500270,Altoona,54720,Altoona,54720,Yes participating without using any Provision or the CEO,394,,161
WV,Alum Creek Elementary School,540060000354,KANAWHA COUNTY SCHOOLS,5400600,South Charleston,25309,South Charleston,25309,Yes under Community Eligibility Option (CEO),149,95,
WA,Amboy Middle School,530038000048,Battle Ground School District,5300380,AMBOY,98601,Battle Ground,98604,Yes participating without using any Provision or the CEO,511,193,227
VA,Amelia County Elementary,510018000062,Amelia County Public Schools,5100180,Amelia Court House,23002,Amelia Court House,23002,Yes under Community Eligibility Option (CEO),758,625,625
VA,Amelia County High,510018001828,Amelia County Public Schools,5100180,Amelia Court House,23002,Amelia Court House,23002,Yes under Community Eligibility Option (CEO),497,368,368
VA,Amelia County Middle,510018000063,Amelia County Public Schools,5100180,Amelia,23002,Amelia,23002,Yes under Community Eligibility Option (CEO),351,291,291
VA,Amelia Street Special Education,510324001352,Richmond City Public Schools,5103240,Richmond,23220,Richmond,23220,Yes under Community Eligibility Option (CEO),27,24,26
VA,Amelia-Nottoway Voc Ctr,510001302026,Amelia-Nottoway Vocational-Technical Center,5100013,Jetersville,23083,Jetersville,23083,No,,,
VA,Amelon Elementary,510021000064,Amherst County Public Schools,5100210,Madison Heights,24572,Madison Heights,24572,Yes under Community Eligibility Option (CEO),415,332,332
WI,Amery High,550030000030,Amery School District,5500300,Amery,54001,Amery,54001,Yes participating without using any Provision or the CEO,430,,150
WI,Amery Intermediate,550030000075,Amery School District,5500300,Amery,54001,Amery,54001,Yes participating without using any Provision or the CEO,275,,127
WI,Amery Middle,550030000031,Amery School District,5500300,Amery,54001,Amery,54001,Yes participating without using any Provision or the CEO,300,,121
VA,Amherst County High,510021000065,Amherst County Public Schools,5100210,Amherst,24521,Amherst,24521,Yes under Community Eligibility Option (CEO),1243,957,957
VA,Amherst Elementary,510021000067,Amherst County Public Schools,5100210,Amherst,24521,Amherst,24521,Yes under Community Eligibility Option (CEO),267,212,212
WI,Amherst Elementary,550033000032,Tomorrow River School District,5500330,Amherst,54406,Amherst,54406,Yes participating without using any Provision or the CEO,351,,104
WI,Amherst High,550033000033,Tomorrow River School District,5500330,Amherst,54406,Amherst,54406,Yes participating without using any Provision or the CEO,354,,87
VA,Amherst Middle,510021000066,Amherst County Public Schools,5100210,Amherst,24521,Amherst,24521,Yes under Community Eligibility Option (CEO),356,285,285
WI,Amherst Middle,550033000034,Tomorrow River School District,5500330,Amherst,54406,Amherst,54406,Yes participating without using any Provision or the CEO,270,,79
WA,Amistad Elementary School,530393000701,Kennewick School District,5303930,KENNEWICK,99336,KENNEWICK,99336,Yes under Community Eligibility Option (CEO),848,722,764
WA,Amon Creek Elementary,530393003663,Kennewick School District,5303930,Richland,99352,Richland,99352,Yes under Community Eligibility Option (CEO),754,149,168
WI,Amy Belle Elementary,550516000549,Germantown School District,5505160,Colgate,53017,Colgate,53017,Yes participating without using any Provision or the CEO,354,,49
VA,An Achievable Dream Academy,510384003132,Virginia Beach City Public Schools,5103840,Virginia Beach,23454,Virginia Beach,23454,Yes under Community Eligibility Option (CEO),,,
VA,An Achievable Dream Middle and High School Oak Avenue Comple,510189003124,Henrico County Public Schools,5101890,Highland Springs,23074,Highland Springs,23074,Yes under Community Eligibility Option (CEO),129,126,607
WA,Anacortes High School,530015000016,Anacortes School District,5300150,Anacortes,98221,Anacortes,98221,Yes participating without using any Provision or the CEO,746,181,203
WA,Anacortes Middle School,530015000015,Anacortes School District,5300150,Anacortes,98221,Anacortes,98221,Yes participating without using any Provision or the CEO,609,177,199
WA,Ancient Lakes Elementary,530708003717,Quincy School District,5307080,Quincy,98848,Quincy,98848,Yes under Community Eligibility Option (CEO),389,268,290
WY,Anderson Elementary,560198000438,Laramie County School District #1,5601980,Cheyenne,82009,Cheyenne,82009,Yes participating without using any Provision or the CEO,316,40,49
WA,Anderson Island Elementary,530846001430,Steilacoom Hist. School District,5308460,Anderson Island,98303,Steilacoom,98388,Yes participating without using any Provision or the CEO,23,11,12
VA,Andrew G. Wright Middle,510366001978,Stafford County Public Schools,5103660,Stafford,22556,Stafford,22556,Yes participating without using any Provision or the CEO,839,271,301
WV,Andrew Jackson Middle School,540060000355,KANAWHA COUNTY SCHOOLS,5400600,Charleston,25313,Charleston,25313,Yes under Community Eligibility Option (CEO),494,292,
VA,Andrew Lewis Middle,510346002045,Salem City Public Schools,5103460,Salem,24153,Salem,24153,Yes participating without using any Provision or the CEO,850,367,405
WI,Andrew S Douglas Middle,550960003123,Milwaukee School District,5509600,Milwaukee,53206,Milwaukee,53206,Yes under Community Eligibility Option (CEO),106,,91
WV,Andrews Heights Elementary School,540060000356,KANAWHA COUNTY SCHOOLS,5400600,Tornado,25202,Tornado,25202,Yes under Community Eligibility Option (CEO),261,189,
WA,Angelo Giaudrone Middle School,530870003155,Tacoma School District,5308700,Tacoma,98408,Tacoma,98408,Yes under Community Eligibility Option (CEO),430,302,343
WV,Anna Jarvis Elementary School,540138001050,TAYLOR COUNTY SCHOOLS,5401380,Grafton,26354,Grafton,26354,Yes under Community Eligibility Option (CEO),477,262,
VA,Annandale High,510126000423,Fairfax County Public Schools,5101260,Annandale,22003,Annandale,22003,Yes under Community Eligibility Option (CEO),2192,1497,1497
VA,Annandale Terrace Elementary,510126000424,Fairfax County Public Schools,5101260,Annandale,22003,Annandale,22003,Yes under Community Eligibility Option (CEO),668,584,584
WV,Anne Bailey Elementary School,540060000357,KANAWHA COUNTY SCHOOLS,5400600,Saint Albans,25177,Saint Albans,25177,Yes under Community Eligibility Option (CEO),199,184,
